# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
71000 76.9136 -9.18917 -5.20852 1.31143 11965.6 182489 -9.41841
72000 77.0099 -9.18855 -5.20814 1.31133 11963.9 182503 -9.41808
73000 76.9956 -9.18897 -5.20808 1.31119 11964.1 182522 -9.41845
74000 77.0272 -9.18921 -5.20863 1.31116 11962.9 182526 -9.41878
75000 76.9862 -9.18922 -5.20921 1.31128 11962.3 182509 -9.41868
76000 77.0215 -9.18844 -5.20838 1.31123 11962 182517 -9.418
77000 76.9928 -9.18752 -5.20746 1.31132 11962.8 182504 -9.417
78000 77.2106 -9.18726 -5.20794 1.31133 11960.7 182502 -9.41739
79000 77.1385 -9.18794 -5.20884 1.31137 11960.4 182497 -9.41785
80000 76.9238 -9.18984 -5.21014 1.31115 11960.3 182527 -9.41911
81000 76.9443 -9.18998 -5.20989 1.31101 11960.1 182547 -9.41931
82000 77.1665 -9.18774 -5.20773 1.31099 11959.7 182549 -9.41773
83000 76.9865 -9.18877 -5.20931 1.31105 11958.6 182541 -9.41823
84000 77.0812 -9.18826 -5.20976 1.31122 11957.2 182518 -9.418
85000 77.0758 -9.1882 -5.20951 1.31132 11958.7 182504 -9.41792
86000 76.9785 -9.18962 -5.21066 1.31115 11958 182528 -9.41905
87000 76.9938 -9.18913 -5.21078 1.31123 11956.9 182516 -9.41861
88000 77.1011 -9.18853 -5.20983 1.31099 11955.7 182550 -9.41832
89000 77.1093 -9.1871 -5.20905 1.31124 11956.1 182514 -9.41692
90000 77.0389 -9.18763 -5.21079 1.31146 11954.4 182484 -9.41724
91000 76.9343 -9.18816 -5.21102 1.31141 11954.9 182491 -9.41746
92000 77.0248 -9.18805 -5.21133 1.31156 11955 182471 -9.41762
93000 77.0769 -9.18827 -5.21136 1.31137 11953.9 182497 -9.418
94000 76.9381 -9.18955 -5.21239 1.31125 11953.5 182513 -9.41886
95000 76.9299 -9.18987 -5.213 1.31115 11951.7 182528 -9.41916
96000 77.1427 -9.18852 -5.21199 1.31137 11952.7 182497 -9.41844
97000 76.9841 -9.18958 -5.21349 1.31128 11950.5 182510 -9.41903
98000 77.0556 -9.189 -5.21256 1.3113 11951.8 182507 -9.41866
99000 76.8981 -9.18989 -5.2139 1.31128 11950.2 182509 -9.41908
100000 76.9255 -9.18994 -5.21379 1.31123 11950.3 182516 -9.41921
101000 77.0688 -9.18841 -5.21238 1.31119 11949.6 182522 -9.41811
102000 77.0743 -9.18883 -5.2128 1.31117 11949.4 182524 -9.41855
103000 77.1599 -9.18739 -5.21133 1.31124 11950 182515 -9.41736
104000 76.9888 -9.18904 -5.21352 1.31116 11947.7 182526 -9.4185
105000 77.1718 -9.18826 -5.2125 1.31115 11948.3 182528 -9.41826
106000 76.846 -9.19029 -5.21541 1.31119 11946.1 182522 -9.41933
107000 76.8496 -9.18964 -5.214 1.31109 11947.5 182536 -9.41868
108000 76.8993 -9.18999 -5.21451 1.31106 11946.7 182539 -9.41919
109000 77.0639 -9.18891 -5.21421 1.31116 11945.2 182526 -9.41859
110000 76.8994 -9.1901 -5.21521 1.31108 11945.1 182537 -9.41929
111000 76.8195 -9.19092 -5.21537 1.31091 11945.5 182561 -9.41987
112000 77.1498 -9.18862 -5.21376 1.31097 11944 182553 -9.41856
113000 77.0071 -9.18924 -5.21549 1.31108 11941.7 182537 -9.41875
114000 77.0823 -9.18838 -5.21369 1.31114 11945.1 182528 -9.41812
115000 76.9562 -9.18878 -5.21438 1.31101 11943 182547 -9.41814
116000 77.0633 -9.18834 -5.21514 1.31116 11940.8 182526 -9.41803
117000 76.9058 -9.18908 -5.21512 1.31117 11943.1 182525 -9.41829
118000 76.9339 -9.18891 -5.21569 1.31111 11940.4 182532 -9.41821
119000 76.9837 -9.18897 -5.21631 1.3113 11940.4 182506 -9.41841
120000 76.9796 -9.18908 -5.21596 1.31125 11941.4 182513 -9.41852
121000 76.9729 -9.18917 -5.21697 1.31122 11938.3 182518 -9.41858
122000 77.0246 -9.18902 -5.21587 1.31111 11940.2 182533 -9.41858
123000 77.0495 -9.18874 -5.21552 1.31115 11940.8 182527 -9.41838
124000 76.8176 -9.18965 -5.21759 1.31119 11937.6 182521 -9.4186
125000 76.8799 -9.18949 -5.21731 1.31112 11937.3 182532 -9.41863
126000 77.0468 -9.18865 -5.21601 1.31111 11938.6 182533 -9.41828
127000 76.9618 -9.18926 -5.21722 1.31094 11935.3 182556 -9.41864
128000 77.0624 -9.18771 -5.21546 1.31108 11937.2 182538 -9.41739
129000 77.1296 -9.18793 -5.21574 1.31089 11935.3 182564 -9.41781
130000 77.2248 -9.1879 -5.21579 1.31087 11934.8 182566 -9.41806
131000 77.0538 -9.18878 -5.21664 1.31096 11935.7 182554 -9.41844
132000 77.0638 -9.18825 -5.21753 1.31106 11932.4 182541 -9.41793
133000 77.0225 -9.18933 -5.21732 1.31096 11935.4 182554 -9.41889
134000 77.1499 -9.18903 -5.21781 1.31083 11931.8 182572 -9.41897
135000 77.1505 -9.18848 -5.21655 1.31078 11933.5 182579 -9.41842
136000 76.9358 -9.1893 -5.21815 1.3109 11932.2 182562 -9.4186
