# LAMMPS data file written by OVITO Basic 3.7.6
8000 atoms
1 atom types
4.1413016404 60.8586983596 xlo xhi
4.1413016404 60.8586983596 ylo yhi
4.1413016404 60.8586983596 zlo zhi

Masses

1 18.0153

Atoms  # atomic

2250 1 14.3212 10.5025 15.5004
3749 1 14.3541 13.1379 16.7864
1032 1 4.9136 16.4925 12.7693
3727 1 7.91714 7.49991 14.9496
7826 1 4.8587 14.0415 5.90284
5413 1 18.0859 8.93109 11.4676
4561 1 12.8568 15.2184 15.3789
3656 1 11.8132 7.74267 15.5211
1749 1 16.754 7.6287 14.3198
2812 1 15.5762 10.0403 11.7298
7765 1 5.77535 13.3857 16.5105
2738 1 12.7984 13.0457 10.4026
1170 1 17.8028 14.553 8.03102
2450 1 10.8864 4.90781 6.87724
6822 1 6.30449 16.511 7.49112
1102 1 4.85421 5.43068 10.0303
4365 1 13.9437 12.0415 12.9082
7858 1 16.0346 13.1829 14.3457
1739 1 7.81311 6.13966 8.3569
7660 1 13.6982 16.8984 9.86674
6959 1 13.1511 6.59942 8.06991
2080 1 16.0926 17.754 11.4713
3620 1 7.57113 17.0077 15.2754
5902 1 16.4327 9.24651 8.32736
125 1 9.06627 12.6432 15.865
506 1 7.31806 14.3209 14.3054
6599 1 5.37986 13.7762 12.3439
219 1 17.437 12.3682 5.94645
7004 1 5.55027 4.34234 16.4615
5372 1 8.08382 11.4049 13.5124
3405 1 6.18904 14.8707 9.85504
901 1 9.79357 5.64962 15.8754
837 1 9.59569 14.8944 12.7895
2712 1 13.0346 5.37541 14.5785
5439 1 15.207 17.5029 14.1547
716 1 10.2076 12.1407 11.776
3076 1 15.7114 5.15328 15.4126
2256 1 10.3545 7.60766 7.57796
4297 1 17.0703 6.1787 11.7995
489 1 12.5833 9.25623 6.87811
6661 1 16.4293 9.09822 5.43797
5189 1 14.2151 15.0257 13.1126
4551 1 7.46589 5.19945 11.098
7331 1 6.5734 11.4682 11.1934
4638 1 7.34524 5.39904 5.58056
3423 1 8.81231 7.94105 5.04706
3872 1 8.38546 11.7346 4.54709
7525 1 10.5611 8.48067 10.1619
3119 1 7.92237 16.3771 18.0145
4172 1 8.20952 9.74873 9.59276
1098 1 14.7662 11.0507 6.61631
