# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
0 77 0 -0.268438 -0.232441 0.000755764 -74574.9 -76410.9 1835.95 -67544.4 1.20726 2431.8
1 76.8559 0 -0.269527 -0.232485 0.00273073 -74574.8 -76407.3 1832.51 -67531.5 1.20726 2436.26
2 76.8317 0.005 -0.268843 -0.235027 0.0656635 -74569.9 -76401.8 1831.94 -67493 1.20729 2447.9
3 76.9355 0.01 -0.267111 -0.239293 0.127605 -74555.9 -76390.3 1834.41 -67428.7 1.20732 2465.37
4 77.1719 0.015 -0.264684 -0.243766 0.186845 -74533.1 -76373.1 1840.05 -67369.1 1.20736 2478.19
5 77.5529 0.02 -0.26256 -0.249009 0.243227 -74502.3 -76351.4 1849.13 -67302.9 1.2074 2490.54
6 78.0485 0.025 -0.26125 -0.255443 0.296986 -74463.7 -76324.6 1860.95 -67203.6 1.20745 2511.61
7 78.6335 0.03 -0.259773 -0.262211 0.347856 -74417.6 -76292.5 1874.9 -67104.1 1.20749 2530.19
8 79.3091 0.035 -0.257105 -0.267644 0.395497 -74364.9 -76255.9 1891.01 -67027.2 1.20753 2538.63
9 80.0578 0.04 -0.253632 -0.272903 0.439739 -74306.1 -76214.9 1908.86 -66945.5 1.20756 2546.61
10 80.8551 0.045 -0.251914 -0.278536 0.480144 -74241.6 -76169.4 1927.87 -66828.4 1.20758 2564.85
11 81.702 0.05 -0.250042 -0.284345 0.51684 -74172.1 -76120.1 1948.06 -66698 1.20758 2585.92
12 82.6095 0.055 -0.247995 -0.289092 0.549294 -74098.5 -76068.2 1969.7 -66582.4 1.20757 2600.45
13 83.5938 0.06 -0.24557 -0.292679 0.578675 -74021.4 -76014.5 1993.17 -66469.9 1.20753 2612.6
14 84.6781 0.065 -0.242712 -0.293751 0.605378 -73941.4 -75960.4 2019.02 -66374.9 1.20747 2617.68
15 85.8389 0.07 -0.239443 -0.292501 0.630018 -73859 -75905.7 2046.7 -66305.5 1.20739 2612.98
16 86.9984 0.075 -0.234674 -0.289623 0.652694 -73774.3 -75848.7 2074.35 -66274.1 1.20728 2594.32
17 88.078 0.08 -0.229991 -0.285091 0.673382 -73687.3 -75787.3 2100.09 -66257.9 1.20715 2569.57
18 89.0428 0.085 -0.225426 -0.279446 0.692073 -73597.9 -75721 2123.09 -66266.4 1.20701 2535.4
19 89.9039 0.09 -0.222096 -0.27428 0.709686 -73506.1 -75649.7 2143.62 -66258.9 1.20686 2505.93
20 90.6715 0.095 -0.220261 -0.271371 0.726507 -73411.6 -75573.5 2161.93 -66205.6 1.20671 2491.37
21 91.3526 0.1 -0.2206 -0.270117 0.74283 -73314.4 -75492.6 2178.17 -66098.3 1.20656 2494.57
22 92.0108 0.105 -0.221419 -0.269348 0.758155 -73214.9 -75408.7 2193.86 -65983.2 1.20641 2499.63
