# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 76.9264 0.00025 -0.172211 -0.172269 -0.00125193 -74724 -76558.2 1834.19 -69711.2 1.18341 1699.71
2000 76.9737 0.00075 -0.17222 -0.17214 0.00351844 -74723.9 -76559.2 1835.32 -69711.8 1.18366 1699.86
3000 77.0795 0.00125 -0.172376 -0.172189 0.00626363 -74723.2 -76561.1 1837.85 -69709.5 1.18332 1699.85
4000 76.9896 0.00175 -0.172396 -0.172588 0.00721256 -74729.6 -76565.3 1835.7 -69710.1 1.18335 1701.88
5000 76.9609 0.00225 -0.172114 -0.172261 0.00652727 -74729.8 -76564.8 1835.02 -69717.5 1.18319 1699.22
6000 76.9544 0.00275 -0.172253 -0.172213 0.00700366 -74732.4 -76567.3 1834.86 -69718.1 1.18299 1699.59
7000 76.9232 0.00325 -0.172254 -0.172056 0.00958992 -74730.4 -76564.5 1834.12 -69716.3 1.18322 1699.85
8000 77.0875 0.00375 -0.172303 -0.172303 0.0163424 -74720.5 -76558.6 1838.04 -69705.6 1.18354 1700.59
9000 76.9534 0.00425 -0.172235 -0.172214 0.0150199 -74737.1 -76572 1834.84 -69725.6 1.1835 1699.41
10000 77.1459 0.00475 -0.172187 -0.172336 0.0164026 -74719 -76558.4 1839.43 -69704.1 1.18339 1700.36
11000 76.873 0.00525 -0.172474 -0.172195 0.019045 -74729.7 -76562.6 1832.92 -69715.5 1.1836 1700.44
12000 76.9114 0.00575 -0.172321 -0.172319 0.0183352 -74731.7 -76565.5 1833.84 -69716 1.18349 1700.8
13000 77.1166 0.00625 -0.172068 -0.172211 0.015205 -74726.6 -76565.3 1838.73 -69717.5 1.18335 1698.34
14000 77.0242 0.00675 -0.172331 -0.172311 0.0178401 -74735.2 -76571.7 1836.53 -69719.5 1.18328 1700.49
15000 77.0869 0.00725 -0.172249 -0.172387 0.0174819 -74731.2 -76569.3 1838.02 -69716.7 1.18343 1700.32
16000 77.0689 0.00775 -0.172317 -0.172127 0.0191685 -74729 -76566.6 1837.59 -69715.4 1.18345 1700.06
17000 76.9324 0.00825 -0.172133 -0.172233 0.0216836 -74732.3 -76566.6 1834.34 -69720.3 1.18346 1699.49
18000 77.0931 0.00875 -0.172217 -0.172378 0.029774 -74725.9 -76564.1 1838.17 -69710.6 1.18343 1700.56
19000 77.0779 0.00925 -0.172264 -0.172162 0.0280289 -74727.2 -76565 1837.81 -69715.3 1.18336 1699.33
20000 76.8578 0.00975 -0.172238 -0.172288 0.0298462 -74745.9 -76578.5 1832.56 -69730.8 1.18347 1700.54
21000 76.9165 0.01025 -0.172238 -0.172063 0.0337544 -74745.2 -76579.1 1833.96 -69732.9 1.18326 1699.3
22000 76.9611 0.01075 -0.172223 -0.172755 0.033397 -74741.3 -76576.3 1835.02 -69723.3 1.18332 1701.31
23000 77.0142 0.01125 -0.172299 -0.171942 0.0312024 -74727.4 -76563.7 1836.29 -69716.6 1.18342 1699.04
24000 77.003 0.01175 -0.172289 -0.172132 0.0331429 -74728.5 -76564.5 1836.02 -69717.8 1.18383 1699.6
25000 76.9334 0.01225 -0.172073 -0.172435 0.0326721 -74734.1 -76568.5 1834.36 -69720.3 1.18356 1700.25
26000 77.1311 0.01275 -0.172519 -0.172345 0.0353972 -74726.2 -76565.2 1839.08 -69708.2 1.18343 1701.49
27000 77.0593 0.01325 -0.172155 -0.17214 0.0387809 -74728.3 -76565.7 1837.36 -69715.4 1.18305 1699.24
28000 77.0466 0.01375 -0.172381 -0.172242 0.0376235 -74731.2 -76568.3 1837.06 -69715 1.18285 1700.04
29000 76.9557 0.01425 -0.172095 -0.1722 0.0373465 -74737.7 -76572.6 1834.89 -69723.9 1.18281 1699.2
30000 77.0708 0.01475 -0.172115 -0.172359 0.0408055 -74728 -76565.6 1837.64 -69712 1.18307 1700.3
31000 76.9514 0.01525 -0.172396 -0.172308 0.040671 -74722.4 -76557.2 1834.79 -69703.6 1.18287 1700.97
32000 76.981 0.01575 -0.172345 -0.172303 0.0372636 -74728.6 -76564.1 1835.5 -69711.5 1.18274 1700.19
33000 76.953 0.01625 -0.172224 -0.172251 0.0385475 -74722.4 -76557.2 1834.83 -69707.5 1.18288 1699.65
34000 76.964 0.01675 -0.172346 -0.17213 0.0436034 -74723.9 -76559 1835.09 -69709.7 1.18308 1699.7
35000 77.0465 0.01725 -0.172158 -0.172295 0.0449666 -74716.7 -76553.7 1837.06 -69700.3 1.18306 1700.4
36000 77.0526 0.01775 -0.172214 -0.172059 0.0457487 -74708.8 -76546 1837.2 -69695.1 1.18271 1698.98
37000 76.9164 0.01825 -0.17227 -0.172462 0.0464415 -74722.6 -76556.6 1833.95 -69704.9 1.18288 1700.6
38000 76.9952 0.01875 -0.172356 -0.172387 0.042502 -74713.6 -76549.4 1835.84 -69694.1 1.1827 1700.96
39000 77.1241 0.01925 -0.172166 -0.171964 0.0510932 -74717.2 -76556.1 1838.91 -69705.5 1.18262 1698.2
