# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 77.1517 0.0025 -0.506847 -0.506772 0.00385599 -74567.3 -76406.9 1839.57 -60317 1.22489 5001.34
2000 76.8093 0.0075 -0.506486 -0.506668 0.0216199 -74582.2 -76413.6 1831.4 -60340.9 1.22541 5000.06
3000 76.9505 0.0125 -0.506591 -0.506847 0.0419921 -74566.3 -76401.1 1834.77 -60325.3 1.2255 5000.34
4000 77.0728 0.0175 -0.506473 -0.506355 0.0567767 -74559.2 -76396.8 1837.69 -60324.2 1.22567 4998.93
5000 76.9134 0.0225 -0.506954 -0.506744 0.0788051 -74550.1 -76384 1833.88 -60312.7 1.22606 5001.38
6000 76.9967 0.0275 -0.506463 -0.506593 0.0907696 -74525.6 -76361.5 1835.87 -60292.1 1.22593 4999.49
7000 76.9707 0.0325 -0.506714 -0.506518 0.103348 -74518.4 -76353.6 1835.25 -60286.8 1.2261 4999.54
8000 76.8947 0.0375 -0.506581 -0.506822 0.119162 -74515.3 -76348.7 1833.44 -60277.2 1.22584 5000.74
9000 76.8744 0.0425 -0.506643 -0.506435 0.134778 -74497.9 -76330.8 1832.96 -60258.6 1.22551 4999.82
10000 77.1606 0.0475 -0.506851 -0.506659 0.14824 -74453.4 -76293.2 1839.78 -60214.2 1.22567 5000.43
11000 76.8301 0.0525 -0.506339 -0.506641 0.156815 -74443.4 -76275.3 1831.9 -60213.1 1.22604 4998.8
12000 77.0054 0.0575 -0.506683 -0.50654 0.158867 -74411.3 -76247.4 1836.08 -60180.7 1.22639 5000.38
13000 76.9233 0.0625 -0.506656 -0.506952 0.166514 -74402.5 -76236.6 1834.12 -60166 1.2261 5001.2
14000 77.0867 0.0675 -0.506609 -0.506397 0.174279 -74366.1 -76204.2 1838.02 -60138.1 1.22625 4998.9
15000 76.8438 0.0725 -0.50657 -0.506758 0.176468 -74347.5 -76179.8 1832.23 -60115.4 1.22624 5000.3
16000 76.9343 0.0775 -0.506845 -0.50661 0.17337 -74324.5 -76158.9 1834.38 -60090.5 1.22627 5001.07
17000 76.9943 0.0825 -0.506475 -0.506581 0.176421 -74302.7 -76138.5 1835.81 -60075.5 1.22644 4999.36
18000 77.0094 0.0875 -0.506587 -0.506851 0.176603 -74273.5 -76109.7 1836.17 -60046.9 1.22678 5000.55
19000 77.0544 0.0925 -0.506561 -0.506416 0.178984 -74255.6 -76092.9 1837.25 -60030.9 1.22636 4998.15
20000 76.9089 0.0975 -0.506762 -0.506561 0.18566 -74251.4 -76085.1 1833.78 -60022.8 1.22654 5000.27
21000 77.0407 0.1025 -0.506485 -0.506529 0.186568 -74215.9 -76052.8 1836.92 -59990 1.22664 4999.71
22000 77.0807 0.1075 -0.506618 -0.506809 0.182041 -74196 -76033.9 1837.87 -59969.4 1.22691 5001.04
23000 77.0292 0.1125 -0.506637 -0.506703 0.186743 -74187.1 -76023.7 1836.64 -59960.5 1.2266 4999.79
24000 76.8882 0.1175 -0.506689 -0.506434 0.186722 -74165.4 -75998.7 1833.28 -59942.6 1.22695 4999.85
25000 76.8829 0.1225 -0.506796 -0.506762 0.188725 -74142.9 -75976.1 1833.16 -59921.8 1.22746 5001.35
26000 76.8387 0.1275 -0.50659 -0.506347 0.189464 -74120.3 -75952.4 1832.1 -59906.8 1.22747 4998.72
27000 76.9635 0.1325 -0.506428 -0.506836 0.185538 -74105 -75940.1 1835.08 -59888.2 1.22739 4999.54
28000 76.8705 0.1375 -0.506778 -0.506724 0.188618 -74090.8 -75923.7 1832.86 -59871.1 1.22754 5001.22
29000 76.8988 0.1425 -0.50662 -0.506637 0.186968 -74070.6 -75904.2 1833.54 -59853.3 1.22751 5000.26
30000 76.9143 0.1475 -0.506594 -0.506486 0.181834 -74061.3 -75895.2 1833.9 -59845.2 1.2274 4999.34
