# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 77.034 0.00025 -0.708533 -0.708777 -0.00453355 -74442.4 -76279.1 1836.76 -54719.7 1.23751 6993.33
2000 76.7927 0.00075 -0.709132 -0.709002 -0.00121771 -74440.8 -76271.8 1831.01 -54719.3 1.23866 6999.1
3000 76.8944 0.00125 -0.70971 -0.709467 -0.00100649 -74431 -76264.4 1833.43 -54709 1.23915 7001.97
4000 77.0596 0.00175 -0.708983 -0.709107 0.00186376 -74419.9 -76257.3 1837.37 -54713.7 1.23946 6998.16
5000 76.885 0.00225 -0.709382 -0.709414 0.0116473 -74430.6 -76263.8 1833.21 -54724.6 1.23988 7000.41
6000 77.0521 0.00275 -0.709457 -0.709495 0.00962808 -74422.9 -76260.1 1837.19 -54717.9 1.24005 7001.04
7000 77.0767 0.00325 -0.709066 -0.709064 0.00938985 -74416.5 -76254.3 1837.78 -54719.6 1.24022 6999.11
8000 76.9604 0.00375 -0.709383 -0.709231 0.00796875 -74424.7 -76259.7 1835.01 -54725.4 1.24037 7000.86
9000 77.0752 0.00425 -0.709097 -0.709531 0.0141759 -74427.8 -76265.5 1837.74 -54726.7 1.24026 7000.87
10000 76.9017 0.00475 -0.709305 -0.709096 0.0143895 -74436.1 -76269.7 1833.61 -54742.5 1.24039 6998.88
11000 76.9655 0.00525 -0.709354 -0.709373 0.0114722 -74422.4 -76257.5 1835.13 -54728.7 1.24061 7000.21
12000 76.8741 0.00575 -0.709222 -0.709225 0.0143049 -74419.8 -76252.8 1832.95 -54733.6 1.24098 6999.61
13000 77.0678 0.00625 -0.709237 -0.709283 0.0227785 -74414.8 -76252.3 1837.57 -54725.2 1.24092 7000.46
14000 76.9756 0.00675 -0.709442 -0.709232 0.0240569 -74424.8 -76260.2 1835.37 -54739.8 1.24109 6999.79
15000 77.1101 0.00725 -0.709356 -0.709371 0.0229794 -74421.9 -76260.5 1838.57 -54734.8 1.24109 7000.53
16000 77.0069 0.00775 -0.709109 -0.709179 0.0262861 -74417.7 -76253.8 1836.11 -54736.5 1.24121 6999.13
17000 76.8957 0.00825 -0.709338 -0.70937 0.0295429 -74419.1 -76252.5 1833.46 -54733.6 1.24133 7001.34
18000 76.9609 0.00875 -0.709304 -0.709294 0.0341501 -74408.1 -76243.1 1835.02 -54727.2 1.24131 6999.64
19000 76.8584 0.00925 -0.709083 -0.709209 0.0281741 -74422.4 -76255 1832.57 -54741.9 1.24129 6999.34
20000 76.8794 0.00975 -0.709095 -0.709117 0.0334626 -74420.2 -76253.2 1833.07 -54748.2 1.24167 6998.39
21000 77.0563 0.01025 -0.70938 -0.709524 0.0349605 -74414.6 -76251.9 1837.29 -54728.2 1.24131 7001.59
22000 77.0639 0.01075 -0.709334 -0.708994 0.0320091 -74406.6 -76244 1837.47 -54730.2 1.24145 6998.78
23000 76.7949 0.01125 -0.709393 -0.709456 0.0364672 -74419 -76250.1 1831.06 -54738.4 1.24157 7000.94
24000 77.0941 0.01175 -0.709294 -0.70918 0.0339075 -74405.3 -76243.5 1838.19 -54724.2 1.24152 7000.88
25000 77.0052 0.01225 -0.709188 -0.709468 0.0389378 -74414.3 -76250.4 1836.07 -54740 1.24166 6999.25
26000 76.9774 0.01275 -0.709122 -0.709271 0.0383692 -74414.2 -76249.6 1835.41 -54739.6 1.24173 6999.7
27000 76.9941 0.01325 -0.709404 -0.709164 0.0405642 -74407.3 -76243.1 1835.81 -54733.8 1.24186 7000.06
28000 76.9111 0.01375 -0.709351 -0.709077 0.0428973 -74415.5 -76249.4 1833.83 -54743.7 1.24205 7000.47
29000 76.9895 0.01425 -0.709397 -0.709511 0.045986 -74400.9 -76236.6 1835.7 -54725.8 1.24184 7000.5
30000 76.9902 0.01475 -0.709223 -0.709256 0.0425346 -74394.5 -76230.2 1835.72 -54724.3 1.24194 6999.36
31000 77.2121 0.01525 -0.70928 -0.709249 0.0460675 -74386 -76227 1841.01 -54714 1.24201 7000.36
32000 77.0619 0.01575 -0.709329 -0.709372 0.0497712 -74390.2 -76227.6 1837.43 -54720.2 1.24218 7000.56
33000 76.8689 0.01625 -0.709311 -0.709306 0.0478517 -74400 -76232.8 1832.82 -54733.1 1.2422 6999.62
34000 77.0311 0.01675 -0.709217 -0.709186 0.0532355 -74393 -76229.7 1836.69 -54724.8 1.24223 7000.27
35000 77.1056 0.01725 -0.709381 -0.709142 0.0567419 -74386.4 -76224.9 1838.47 -54722.9 1.24229 6998.92
36000 77.2036 0.01775 -0.709253 -0.709381 0.0565537 -74381.6 -76222.4 1840.8 -54711.8 1.24229 7001.14
37000 77.1652 0.01825 -0.709282 -0.709354 0.0569411 -74383.6 -76223.5 1839.89 -54719.1 1.24233 6999.46
38000 77.0024 0.01875 -0.708979 -0.709429 0.0569256 -74379.2 -76215.2 1836.01 -54719 1.24267 6999.88
39000 77.0737 0.01925 -0.70926 -0.709114 0.0590864 -74380.9 -76218.6 1837.71 -54719 1.24263 7000.27
40000 77.0458 0.01975 -0.709432 -0.709302 0.0599077 -74379.8 -76216.8 1837.04 -54715.7 1.24249 7000.24
41000 76.9152 0.02025 -0.709153 -0.709344 0.0586369 -74385.8 -76219.7 1833.93 -54724.6 1.24249 6999.25
42000 76.98 0.02075 -0.709545 -0.709019 0.0609662 -74381.7 -76217.1 1835.47 -54722.5 1.24272 6999.8
43000 77.0495 0.02125 -0.709097 -0.709263 0.0648575 -74373.1 -76210.2 1837.13 -54713.9 1.24272 6999.77
44000 77.0981 0.02175 -0.709112 -0.709366 0.0642676 -74373 -76211.3 1838.29 -54713.6 1.24269 6999.71
45000 76.9441 0.02225 -0.709586 -0.70941 0.0683654 -74373.8 -76208.5 1834.62 -54710.5 1.24279 7001.68
46000 76.9381 0.02275 -0.70927 -0.709081 0.0639322 -74370.7 -76205.1 1834.47 -54711 1.24272 6999.92
47000 76.831 0.02325 -0.70924 -0.709528 0.059805 -74378.9 -76210.8 1831.92 -54717.3 1.24261 7000
48000 77.1654 0.02375 -0.709177 -0.709181 0.0612419 -74365.2 -76205 1839.89 -54701.6 1.24253 7000.31
49000 76.9214 0.02425 -0.709364 -0.709403 0.0626138 -74377.3 -76211.4 1834.08 -54718.1 1.24267 6999.51
50000 77.0572 0.02475 -0.709261 -0.709231 0.0624498 -74372.8 -76210.1 1837.31 -54713.1 1.24279 7000.4
51000 77.1413 0.02525 -0.709295 -0.709124 0.0673745 -74367.1 -76206.4 1839.32 -54712.6 1.24294 6999.39
52000 77.0601 0.02575 -0.709207 -0.709302 0.0666173 -74366.9 -76204.3 1837.38 -54710 1.2429 7000.07
53000 77.126 0.02625 -0.709287 -0.709274 0.0640598 -74361.6 -76200.6 1838.95 -54702.4 1.24286 7000.6
54000 76.9955 0.02675 -0.70918 -0.709257 0.0641377 -74362.3 -76198.1 1835.84 -54713.6 1.24321 6998.85
