# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 77.0154 0.0025 -0.253263 -0.253373 0.00188216 -74663.9 -76500.2 1836.32 -67441.8 1.20828 2500.24
2000 76.9496 0.0075 -0.253314 -0.253337 0.0252167 -74667.7 -76502.4 1834.75 -67447.8 1.20846 2499.86
3000 77.0378 0.0125 -0.25331 -0.253112 0.0430449 -74651.4 -76488.2 1836.85 -67432.5 1.20831 2499.18
4000 77.0702 0.0175 -0.253212 -0.253408 0.0597152 -74645.6 -76483.2 1837.62 -67423.7 1.20836 2500.34
5000 77.0749 0.0225 -0.25345 -0.253395 0.0723521 -74630.2 -76468 1837.74 -67406.6 1.2082 2500.6
6000 76.9589 0.0275 -0.253257 -0.253313 0.0912726 -74632.9 -76467.8 1834.97 -67413.2 1.20839 2499.62
7000 77.0405 0.0325 -0.253334 -0.253198 0.110177 -74617.6 -76454.5 1836.92 -67395 1.20822 2500.28
8000 76.901 0.0375 -0.253291 -0.253457 0.122861 -74600.9 -76434.4 1833.59 -67376.9 1.20807 2500.47
9000 76.914 0.0425 -0.2532 -0.25337 0.12732 -74579.6 -76413.5 1833.9 -67359.2 1.20807 2499.24
10000 77.186 0.0475 -0.253545 -0.252997 0.139099 -74549 -76389.4 1840.38 -67325.3 1.20765 2499.53
11000 77.0558 0.0525 -0.253111 -0.253579 0.148813 -74530.2 -76367.5 1837.28 -67305 1.20741 2499.5
12000 76.889 0.0575 -0.253227 -0.253208 0.154756 -74517.3 -76350.7 1833.3 -67288.6 1.20743 2500.77
13000 76.9996 0.0625 -0.25316 -0.253368 0.16689 -74482.1 -76318.1 1835.94 -67254.6 1.20668 2498.84
14000 76.9237 0.0675 -0.253476 -0.25322 0.171473 -74463.5 -76297.6 1834.13 -67232.7 1.20694 2500.48
15000 76.9217 0.0725 -0.253505 -0.253274 0.17192 -74442.8 -76276.9 1834.08 -67212.5 1.20694 2500.34
16000 76.8729 0.0775 -0.253081 -0.253351 0.174974 -74427.9 -76260.8 1832.92 -67197.1 1.20656 2499.69
