# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
100 77.5698 0.025 -0.252874 -0.25293 0.144168 -74576.9 -76426.4 1849.53 -67353.2 1.20815 2500.5
200 77.4679 0.075 -0.25247 -0.255061 0.364241 -74264.9 -76112 1847.11 -67049.6 1.208 2497.33
300 77.9505 0.125 -0.252541 -0.252518 0.495068 -73752.9 -75611.5 1858.61 -66529.2 1.2089 2502.05
400 78.4376 0.175 -0.25489 -0.252732 0.531865 -73232.4 -75102.7 1870.23 -66006.6 1.20959 2504.25
500 79.1203 0.225 -0.252322 -0.254428 0.521552 -72780.5 -74667 1886.5 -65584.1 1.21104 2497.05
600 79.6645 0.275 -0.251779 -0.252792 0.478733 -72492.6 -74392.1 1899.48 -65322.4 1.21165 2489.31
700 79.637 0.325 -0.253836 -0.254354 0.43987 -72334.4 -74233.2 1898.82 -65092.4 1.21242 2515.73
800 79.4509 0.375 -0.253339 -0.253112 0.420199 -72249 -74143.4 1894.39 -65069.4 1.21214 2493.43
900 79.0336 0.425 -0.252041 -0.254714 0.388471 -72194.4 -74078.9 1884.44 -64995.9 1.21259 2500.93
1000 79.1552 0.181284 -0.254777 -0.252841 0.372847 -72156.8 -74044.1 1887.34 -64940.8 1.21203 2505.85
1100 79.0478 -0.441602 -0.252308 -0.252043 0.360338 -72139.2 -74024 1884.78 -64956.8 1.21212 2494.42
1200 78.9028 -0.388664 -0.252003 -0.256402 0.34381 -72141.8 -74023.1 1881.32 -64918.4 1.21088 2506.07
1300 78.8163 -0.334286 -0.253255 -0.254134 0.33413 -72144.1 -74023.4 1879.26 -64930.4 1.21014 2501.21
1400 78.8697 -0.282117 -0.250842 -0.253707 0.34121 -72140.1 -74020.6 1880.53 -64949.5 1.21017 2493.21
1500 78.9875 -0.228564 -0.254275 -0.251751 0.338842 -72131 -74014.3 1883.34 -64938.9 1.21061 2494.65
1600 78.952 -0.176553 -0.252903 -0.252345 0.335026 -72130.5 -74013 1882.49 -64905.2 1.21078 2506.52
1700 79.1478 -0.122693 -0.254005 -0.254378 0.338833 -72133 -74020.1 1887.16 -64935.9 1.21058 2496.32
1800 78.4074 -0.0711774 -0.253939 -0.252525 0.347859 -72132.2 -74001.7 1869.51 -64926.4 1.21045 2499.04
1900 78.9669 -0.0181 -0.252543 -0.253932 0.33699 -72074.3 -73957.1 1882.85 -64839.4 1.20952 2507.22
2000 79.1283 0.0324323 -0.252478 -0.253973 0.328317 -72092.4 -73979.1 1886.7 -64902.2 1.20965 2492.02
2100 79.2304 0.0837318 -0.253541 -0.25226 0.326162 -72143.5 -74032.7 1889.13 -64919 1.21021 2505.09
2200 78.7759 0.134977 -0.253643 -0.252712 0.339317 -72147.4 -74025.7 1878.29 -64950 1.20947 2494.11
2300 78.9824 0.186732 -0.253359 -0.255082 0.330911 -72151.5 -74034.7 1883.22 -64916.2 1.20973 2507.83
2400 78.9405 0.240178 -0.25318 -0.253168 0.348282 -72143.7 -74025.9 1882.22 -64940.5 1.21007 2497.43
2500 78.8959 0.292276 -0.253778 -0.254063 0.338641 -72121.6 -74002.7 1881.15 -64888.4 1.20991 2507.45
2600 79.3293 0.3448 -0.251198 -0.253947 0.347522 -72129.8 -74021.3 1891.49 -64932.1 1.20878 2492.82
2700 79.1672 0.397862 -0.254204 -0.25232 0.346254 -72136.2 -74023.9 1887.62 -64913.6 1.20797 2499.77
2800 78.6409 0.215641 -0.253735 -0.253937 0.333783 -72154.2 -74029.3 1875.08 -64916.6 1.20751 2503.99
2900 78.8014 -0.421724 -0.252442 -0.252311 0.340057 -72130.7 -74009.6 1878.9 -64935.8 1.20744 2489.14
