# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
0 77 0 -0.267728 -0.232829 0.000866134 -74574.9 -76410.9 1835.95 -67544.4 1.20726 2431.8
1 77.2854 0 -0.277816 -0.239658 3.66504e-05 -74572.1 -76414.9 1842.75 -67317.2 1.20775 2510.46
2 77.7034 0.005 -0.303662 -0.265985 0.0609185 -74558.8 -76411.5 1852.72 -66583.8 1.20919 2762.91
3 78.2084 0.01 -0.346283 -0.311123 0.120811 -74529.4 -76394.2 1864.76 -65333 1.21154 3192.28
4 78.7792 0.015 -0.402061 -0.37378 0.179456 -74482.6 -76361 1878.37 -63639.8 1.21467 3773.49
5 79.4098 0.02 -0.469528 -0.45087 0.237628 -74417.4 -76310.8 1893.41 -61579.6 1.21839 4481.45
6 80.1083 0.025 -0.544377 -0.535113 0.295501 -74334.4 -76244.5 1910.06 -59318.3 1.22243 5259.27
7 80.882 0.03 -0.620508 -0.621162 0.352091 -74236 -76164.5 1928.51 -57011.1 1.22652 6053.06
8 81.7484 0.035 -0.690879 -0.702575 0.405904 -74126.9 -76076 1949.17 -54850.9 1.23038 6795.14
9 82.7078 0.04 -0.752779 -0.775231 0.456701 -74012.5 -75984.5 1972.04 -52937 1.2338 7450.12
10 83.7432 0.045 -0.803253 -0.8364 0.503679 -73897.5 -75894.2 1996.73 -51339 1.23666 7992.88
11 84.8287 0.05 -0.841778 -0.884982 0.546936 -73785.4 -75808 2022.61 -50065.6 1.23892 8419.73
12 85.9455 0.055 -0.866599 -0.918894 0.585456 -73678.4 -75727.6 2049.24 -49154.6 1.24059 8716.86
13 87.0961 0.06 -0.87959 -0.939399 0.619548 -73577.7 -75654.3 2076.68 -48585.3 1.2417 8891.4
14 88.2673 0.065 -0.883077 -0.948085 0.650773 -73483.3 -75587.9 2104.6 -48293.9 1.24231 8965.84
15 89.4035 0.07 -0.878937 -0.947963 0.679824 -73394.8 -75526.5 2131.69 -48223.5 1.24245 8960.41
16 90.4608 0.075 -0.866778 -0.939981 0.705824 -73310.7 -75467.6 2156.9 -48371.8 1.24218 8875.73
17 91.4636 0.08 -0.848662 -0.923378 0.727951 -73230.6 -75411.4 2180.81 -48721.3 1.24154 8718.37
18 92.448 0.085 -0.825153 -0.899659 0.746432 -73153.4 -75357.7 2204.28 -49246.4 1.2406 8497.68
19 93.4215 0.09 -0.79889 -0.87196 0.762025 -73078.5 -75305.9 2227.5 -49867.6 1.23941 8242.29
20 94.3686 0.095 -0.771932 -0.84198 0.775895 -73004.8 -75254.9 2250.08 -50539.6 1.23803 7968.66
21 95.2256 0.1 -0.743178 -0.808936 0.788768 -72931.2 -75201.7 2270.51 -51271.6 1.23654 7673.66
22 95.921 0.105 -0.714324 -0.775622 0.800905 -72856.6 -75143.7 2287.09 -52003.9 1.23499 7378.52
