# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
0 77 0 -0.268466 -0.233431 0.00136928 -74574.9 -76410.9 1835.95 -67544.4 1.20726 2431.8
1 77.1306 0 -0.268981 -0.234989 0.00121625 -74574.2 -76413.2 1839.06 -67517 1.2074 2441.32
2 77.3898 0.005 -0.273955 -0.243513 0.0622997 -74567.2 -76412.4 1845.24 -67311.5 1.20782 2510.88
3 77.7787 0.01 -0.282893 -0.257005 0.123238 -74549.8 -76404.3 1854.52 -66977.8 1.20851 2621.82
4 78.3025 0.015 -0.296446 -0.276529 0.182664 -74522.2 -76389.2 1867.01 -66491.2 1.20945 2782.9
5 78.9328 0.02 -0.314082 -0.301967 0.241081 -74484.5 -76366.6 1882.03 -65847.5 1.21059 2995.75
6 79.6246 0.025 -0.334198 -0.331419 0.296808 -74437.2 -76335.7 1898.53 -65109.8 1.21189 3238.69
7 80.3305 0.03 -0.356392 -0.364109 0.349264 -74381 -76296.3 1915.36 -64299.3 1.21329 3504.62
8 80.9894 0.035 -0.378395 -0.397949 0.399003 -74316.8 -76247.9 1931.07 -63464.6 1.21473 3776.97
9 81.5539 0.04 -0.401217 -0.432905 0.444666 -74245.6 -76190.1 1944.53 -62600.7 1.21615 4057.59
10 82.0368 0.045 -0.42301 -0.466465 0.487133 -74168.7 -76124.8 1956.04 -61774.8 1.21748 4323.32
11 82.4795 0.05 -0.441598 -0.496149 0.526393 -74087.5 -76054.1 1966.6 -61023.7 1.21867 4561.44
12 82.9331 0.055 -0.456845 -0.520277 0.562127 -74003.3 -75980.7 1977.42 -60376.2 1.21966 4761.96
13 83.4705 0.06 -0.467977 -0.53796 0.595522 -73917.2 -75907.4 1990.23 -59860.5 1.22041 4915.1
14 84.1757 0.065 -0.474175 -0.548415 0.626154 -73830.1 -75837.1 2007.04 -59504.2 1.2209 5011.23
15 85.1162 0.07 -0.47564 -0.551232 0.653383 -73742.7 -75772.1 2029.47 -59312.8 1.22111 5048.49
16 86.3025 0.075 -0.471801 -0.546769 0.676651 -73655.5 -75713.3 2057.75 -59306.3 1.22105 5020.02
17 87.6641 0.08 -0.464898 -0.537157 0.697355 -73568.8 -75659 2090.22 -59413.9 1.22072 4950.67
18 89.0764 0.085 -0.455051 -0.522086 0.715784 -73482.1 -75606 2123.89 -59634.2 1.22015 4841.07
19 90.433 0.09 -0.442599 -0.502089 0.731855 -73395.4 -75551.6 2156.24 -59966.1 1.21936 4691.67
20 91.666 0.095 -0.427095 -0.478033 0.745498 -73308.3 -75494 2185.64 -60401.2 1.21841 4505.74
21 92.7215 0.1 -0.409506 -0.453044 0.757827 -73220.6 -75431.5 2210.8 -60890.3 1.21732 4300.54
22 93.5678 0.105 -0.390467 -0.425212 0.770028 -73132 -75362.9 2230.98 -61432.8 1.21616 4076.51
23 94.2183 0.11 -0.371303 -0.397802 0.78254 -73041.7 -75288.2 2246.49 -61980.3 1.21498 3850.53
24 94.7283 0.115 -0.353963 -0.374195 0.796232 -72949.3 -75208 2258.65 -62464.1 1.21382 3646.49
25 95.1723 0.12 -0.337383 -0.354039 0.809633 -72854.4 -75123.7 2269.24 -62885.9 1.21273 3463.7
26 95.6185 0.125 -0.320657 -0.336978 0.822708 -72757 -75036.9 2279.88 -63263.5 1.21175 3295.97
27 96.1096 0.13 -0.304618 -0.322496 0.83631 -72656.6 -74948.2 2291.59 -63591.3 1.21091 3145.1
28 96.6739 0.135 -0.291359 -0.310538 0.849803 -72553.2 -74858.2 2305.04 -63838.9 1.21023 3021.66
29 97.3301 0.14 -0.282015 -0.302411 0.862902 -72446.7 -74767.4 2320.69 -63973.1 1.20974 2937.01
30 98.0803 0.145 -0.276976 -0.298775 0.875856 -72337.3 -74675.9 2338.58 -63987.6 1.20945 2893.33
31 98.9116 0.15 -0.27378 -0.297367 0.888205 -72225.1 -74583.5 2358.4 -63938.9 1.20934 2871.09
32 99.8086 0.155 -0.273065 -0.299004 0.899705 -72110.2 -74490 2379.79 -63797.7 1.20943 2880.43
33 100.76 0.16 -0.273364 -0.304312 0.91005 -71992.9 -74395.4 2402.48 -63575 1.2097 2917.6
34 101.745 0.165 -0.275991 -0.312004 0.919113 -71873.5 -74299.5 2425.95 -63273.5 1.21013 2981.8
35 102.719 0.17 -0.282307 -0.321581 0.927046 -71752.2 -74201.4 2449.18 -62891.5 1.21071 3073.65
36 103.648 0.175 -0.292705 -0.331929 0.934163 -71629.3 -74100.6 2471.33 -62455.2 1.21141 3184.19
37 104.533 0.18 -0.305239 -0.343299 0.940356 -71505 -73997.5 2492.43 -61995 1.21221 3302.96
38 105.391 0.185 -0.318406 -0.355875 0.945997 -71379.6 -73892.4 2512.88 -61508.8 1.21306 3430.64
