# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 76.9495 0.00025 -0.212872 -0.212787 -1.3774e-05 -74666.3 -76501 1834.75 -68586.3 1.20541 2099.86
2000 77.1367 0.00075 -0.21287 -0.212853 -0.00314583 -74655.7 -76494.9 1839.21 -68572.2 1.20535 2100.99
3000 77.0335 0.00125 -0.212419 -0.212632 -0.000278859 -74659.6 -76496.4 1836.75 -68584.9 1.20558 2098.34
4000 77.0132 0.00175 -0.212851 -0.212751 -0.000965837 -74666 -76502.2 1836.26 -68587.4 1.20536 2099.28
5000 76.9091 0.00225 -0.212937 -0.212872 0.0074429 -74669.8 -76503.6 1833.78 -68585.1 1.20521 2101.17
6000 76.9239 0.00275 -0.212706 -0.21277 0.0050012 -74666 -76500.1 1834.13 -68583.5 1.20503 2100.08
7000 77.0388 0.00325 -0.212782 -0.212781 0.00290508 -74665.8 -76502.6 1836.87 -68585.8 1.20542 2099.86
8000 76.8995 0.00375 -0.212987 -0.212782 0.00643956 -74668.7 -76502.3 1833.55 -68585.3 1.20522 2100.75
9000 76.905 0.00425 -0.212605 -0.212917 0.0124306 -74667.4 -76501.1 1833.68 -68587.5 1.20543 2099.87
10000 76.962 0.00475 -0.21284 -0.212405 0.0147399 -74660.9 -76496 1835.04 -68584.4 1.2054 2098.65
11000 76.9608 0.00525 -0.212757 -0.213002 0.0113424 -74665 -76500 1835.01 -68580 1.20539 2101.53
12000 77.0978 0.00575 -0.212637 -0.212816 0.0137136 -74671 -76509.3 1838.28 -68593.6 1.20543 2099.02
13000 77.0121 0.00625 -0.212828 -0.212873 0.0156455 -74669.8 -76506.1 1836.24 -68586.7 1.20548 2101.1
14000 76.9946 0.00675 -0.212861 -0.212649 0.0130137 -74668.8 -76504.6 1835.82 -68591.3 1.20546 2099.09
15000 77.0634 0.00725 -0.212724 -0.212719 0.0211202 -74661.5 -76499 1837.46 -68582.6 1.20569 2099.96
16000 77.0626 0.00775 -0.212949 -0.212769 0.019818 -74654.2 -76491.7 1837.44 -68575 1.20581 2100.29
17000 77.2233 0.00825 -0.212742 -0.212838 0.0173992 -74641.8 -76483.1 1841.27 -68562.2 1.20565 2100.17
18000 76.8809 0.00875 -0.212727 -0.212827 0.0222333 -74657.5 -76490.6 1833.11 -68579.2 1.20557 2099.58
19000 77.0486 0.00925 -0.21288 -0.212456 0.0232217 -74652.7 -76489.8 1837.11 -68573.2 1.20568 2100.15
20000 76.8853 0.00975 -0.212621 -0.21315 0.0272252 -74658.5 -76491.7 1833.22 -68577.6 1.20553 2100.42
21000 77.0043 0.01025 -0.212846 -0.212784 0.0292677 -74657.6 -76493.7 1836.05 -68578.2 1.20553 2099.87
22000 77.0642 0.01075 -0.212764 -0.212602 0.0312547 -74648.5 -76486 1837.48 -68569.4 1.20543 2099.6
23000 76.9669 0.01125 -0.212741 -0.212858 0.034817 -74654.7 -76489.9 1835.16 -68574.3 1.20538 2099.99
24000 76.8941 0.01175 -0.212835 -0.212939 0.0348993 -74664.3 -76497.7 1833.43 -68583.2 1.20563 2100.63
25000 76.9964 0.01225 -0.212777 -0.212751 0.0374154 -74661.8 -76497.7 1835.86 -68582.5 1.20566 2100.06
26000 76.9363 0.01275 -0.212786 -0.212574 0.0377391 -74660 -76494.4 1834.43 -68582.6 1.20553 2099.15
27000 77.0567 0.01325 -0.212873 -0.212961 0.0395392 -74650.2 -76487.5 1837.3 -68567.7 1.20553 2100.93
