# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 77.2041 0.025 -0.506727 -0.506936 0.104158 -74515.7 -76356.5 1840.81 -60258.8 1.22444 5001.82
2000 77.0754 0.075 -0.506807 -0.506644 0.248202 -74263.5 -76101.2 1837.75 -60020.3 1.22541 5000.74
3000 77.2356 0.125 -0.506607 -0.506528 0.295289 -73914.3 -75755.8 1841.57 -59687.5 1.22669 5000.22
4000 77.0633 0.175 -0.506498 -0.50665 0.289334 -73633.9 -75471.4 1837.46 -59427.4 1.22806 4998.65
5000 77.0087 0.225 -0.506734 -0.506624 0.254036 -73464.1 -75300.3 1836.16 -59262.1 1.22906 5001.16
6000 77.1732 0.275 -0.506526 -0.506596 0.230685 -73358.1 -75198.2 1840.08 -59170.2 1.22971 4998.81
7000 76.8671 0.325 -0.506506 -0.506622 0.211589 -73355.7 -75188.5 1832.78 -59157.4 1.2291 5000.03
8000 77.1202 0.375 -0.506701 -0.506739 0.208892 -73303.6 -75142.4 1838.81 -59114.7 1.22999 5000.3
9000 77.0515 0.425 -0.506885 -0.506545 0.202932 -73269.7 -75106.8 1837.18 -59069.9 1.22917 5000.79
10000 77.0967 0.174665 -0.506353 -0.50651 0.197849 -73235.4 -75073.7 1838.26 -59045.4 1.22959 4999.13
11000 77.1809 -0.44186 -0.50667 -0.506659 0.189232 -73233.6 -75073.8 1840.26 -59049 1.23029 5000.03
12000 77.0021 -0.390266 -0.506591 -0.506684 0.198645 -73235.9 -75071.9 1836 -59049.1 1.22993 4999.34
13000 77.139 -0.338719 -0.506672 -0.506586 0.178745 -73248.4 -75087.7 1839.26 -59053.6 1.22949 5000.39
14000 77.1602 -0.286361 -0.506402 -0.506637 0.182456 -73244.5 -75084.2 1839.77 -59056.9 1.22993 4999.58
15000 76.9727 -0.233978 -0.506759 -0.506584 0.18599 -73251.8 -75087.1 1835.3 -59058.6 1.22972 5000.69
16000 77.1205 -0.180521 -0.506563 -0.506693 0.188703 -73239 -75077.8 1838.82 -59052.2 1.22987 4999.08
17000 77.0396 -0.126468 -0.507036 -0.506536 0.190471 -73228.1 -75065 1836.89 -59029.6 1.22947 5001.58
18000 77.0315 -0.0731524 -0.506356 -0.506708 0.191478 -73223.1 -75059.8 1836.7 -59027.7 1.22918 4999.35
19000 77.1632 -0.0215139 -0.506529 -0.50668 0.193895 -73204.8 -75044.7 1839.84 -58992 1.22794 5000.42
20000 77.0484 0.0313226 -0.506705 -0.506429 0.188246 -73214.6 -75051.7 1837.1 -59001.7 1.22774 4999.63
21000 77.1086 0.0827064 -0.50649 -0.506644 0.184757 -73200.9 -75039.4 1838.54 -58998 1.22849 4999.14
22000 77.0102 0.134155 -0.506526 -0.506735 0.184992 -73216.4 -75052.6 1836.19 -59021.1 1.22948 5000.49
23000 77.0628 0.184625 -0.50688 -0.506463 0.185565 -73221.7 -75059.2 1837.45 -59022.4 1.229 4999.93
24000 77.1207 0.235808 -0.506759 -0.506576 0.184566 -73209.9 -75048.7 1838.83 -59015.3 1.22942 5000.02
25000 77.131 0.28851 -0.506319 -0.506606 0.179222 -73222.7 -75061.8 1839.07 -59033.2 1.22976 4999.64
26000 77.0761 0.340272 -0.506734 -0.506542 0.184896 -73243 -75080.7 1837.77 -59055.7 1.22998 4999.71
27000 77.0143 0.393534 -0.506927 -0.506757 0.182188 -73250.5 -75086.8 1836.29 -59068.2 1.23092 5001.81
28000 76.9029 0.287012 -0.506607 -0.506595 0.186238 -73241.7 -75075.4 1833.63 -59065.7 1.23099 4999.86
29000 77.0329 -0.428242 -0.50647 -0.506605 0.182526 -73242.3 -75079 1836.73 -59073.6 1.23138 4998.83
30000 77.1 -0.374324 -0.50671 -0.506537 0.183289 -73220.5 -75058.8 1838.33 -59056 1.23197 4999.76
31000 77.0734 -0.321267 -0.506595 -0.506705 0.180587 -73230 -75067.7 1837.7 -59062.4 1.23194 5000.75
32000 77.0087 -0.270135 -0.506638 -0.506609 0.183844 -73260.2 -75096.3 1836.16 -59083.9 1.23107 5000.23
33000 77.1353 -0.216317 -0.506531 -0.506508 0.182672 -73256.8 -75095.9 1839.18 -59082 1.2308 4998.65
34000 76.9611 -0.165249 -0.506717 -0.50663 0.187056 -73281.7 -75116.7 1835.02 -59094.2 1.23005 5000.07
35000 77.0705 -0.108569 -0.506555 -0.506736 0.190957 -73261 -75098.6 1837.63 -59077.4 1.23054 5000.67
36000 77.0234 -0.0538497 -0.506578 -0.506515 0.190593 -73252 -75088.5 1836.51 -59079.2 1.2311 4999.14
37000 77.1799 0.0026477 -0.506891 -0.50665 0.19361 -73235 -75075.2 1840.24 -59063.8 1.23175 5001.27
38000 77.1566 0.0582925 -0.50648 -0.50692 0.199048 -73232.7 -75072.4 1839.68 -59073.4 1.23265 5000.68
39000 77.128 0.113664 -0.506499 -0.506507 0.194144 -73227.6 -75066.6 1839 -59077 1.23301 4999.06
40000 77.0272 0.172778 -0.506491 -0.50632 0.197392 -73193 -75029.6 1836.6 -59037.3 1.23243 4998.53
