LAMMPS data file via write_data, version 3 Mar 2020, timestep = 4400000

8000 atoms
1 atom types

7.5475954731316719e-01 6.4245240452689231e+01 xlo xhi
7.5475954731316719e-01 6.4245240452689231e+01 ylo yhi
7.5475954731316719e-01 6.4245240452689231e+01 zlo zhi

Masses

1 18.0153

Atoms # atomic

2250 1 1.0892864016687868e+01 8.1188514545459860e+00 1.4065811671446831e+01 -4 2 4
3749 1 1.1508041213716632e+01 1.0687906775130083e+01 1.4709984769051671e+01 1 -1 -1
706 1 3.8507577563905033e+00 8.9887309158358271e+00 1.5934678283799035e+00 1 5 -2
3727 1 3.5864586645704897e+00 3.4298779607131444e+00 1.2083148644408825e+01 0 -4 0
2693 1 1.1048752766625991e+00 4.7200138317303466e+00 1.1998089642322615e+01 3 -2 2
327 1 2.2542123997241093e+00 1.5369687708656853e+01 2.9462164204460843e+00 -4 1 -1
4561 1 1.0421169736548856e+01 1.4305375384409029e+01 1.3086575264829905e+01 0 -3 0
3656 1 9.0397321163263289e+00 3.4508840218724508e+00 1.2244088130885141e+01 -2 -2 -3
1749 1 1.0510206013214358e+01 5.1347920911393761e+00 1.0604998356832981e+01 0 -3 6
2812 1 1.2488893172951459e+01 3.8718463833491406e+00 9.0167080291823236e+00 1 5 0
7765 1 2.7876075681964521e+00 1.1587819016614741e+01 1.5624418547711786e+01 2 1 -4
2738 1 1.0047536465103910e+01 1.2925765212028768e+01 7.7975151367482960e+00 -6 2 0
1170 1 1.4237541530603075e+01 1.4124430810780078e+01 2.6356144040639973e+00 0 -2 2
2450 1 6.9060432877845050e+00 3.5498597775866778e+00 3.2232675065880114e+00 2 5 -3
6822 1 3.6780702252923514e+00 1.4212034165403271e+01 5.1005145796643179e+00 -1 1 6
5662 1 8.3988067325926927e+00 9.9139544084642095e-01 1.5992592129407910e+01 -3 1 0
4365 1 1.1475054648930344e+01 1.1621559229591577e+01 1.0000061573264883e+01 0 2 -1
7858 1 1.3793267672876333e+01 1.2581163257050394e+01 1.0930852576429855e+01 4 -10 1
1739 1 6.5605093029380166e+00 2.9540023374432942e+00 5.8504945405635720e+00 -5 -1 5
4344 1 6.5021479414295120e+00 8.9575808827482692e+00 1.6057867611140281e+01 -3 -1 -1
6959 1 1.0768354909180937e+01 5.8549587417271924e+00 5.1397172129657616e+00 2 2 5
6199 1 1.0310966974408535e+01 1.5427434393327967e+01 8.5400957747534250e+00 -2 -1 1
3620 1 3.1593406064076341e+00 1.3978028885462363e+01 1.4439494647443823e+01 0 -2 1
5902 1 1.3348685843926152e+01 6.5376015797552860e+00 5.9221761070021799e+00 -3 6 -1
492 1 1.5746509237412051e+01 1.0512317886127152e+01 1.1157124211066124e+01 1 2 -3
506 1 5.4455498649476430e+00 1.1238104486698303e+01 1.2072111245896199e+01 -2 1 -1
109 1 1.2324819273062630e+01 3.6767899921835694e+00 1.5220782639730068e+01 0 2 -1
219 1 1.2644332021491826e+01 1.0117196784439422e+01 2.0593847841169954e+00 -2 6 5
2271 1 9.3834732145861004e+00 3.2800935881735791e+00 1.7391652278911103e+00 -3 -1 -2
5372 1 3.6934660268854671e+00 7.5128552135991322e+00 1.3277623336626865e+01 4 -3 5
3405 1 1.9711420863623790e+00 1.2577173114389300e+01 6.3486823484508745e+00 4 1 -4
3119 1 3.0397554857755047e+00 1.6142227302640542e+01 1.6060517792633973e+01 2 2 -1
837 1 7.8962133636137102e+00 9.9397336796345375e+00 1.2066242162115035e+01 0 0 0
2712 1 1.0219020000124445e+01 2.3147825973770839e+00 1.4395875929752307e+01 -1 -3 1
2688 1 1.4596202511846631e+01 8.2264094828036640e+00 2.0586762560699174e+00 1 -1 6
716 1 7.2025105193137895e+00 9.7160942771823748e+00 9.2932254576724862e+00 3 2 3
12 1 1.1783624959300608e+01 4.3318769622820401e+00 2.9721435816852249e+00 5 2 1
2256 1 4.6852175098670283e+00 7.2269358788103908e+00 3.6963228813617421e+00 -1 2 2
412 1 1.4474383746343310e+01 1.6383157430412027e+01 1.4085222579043931e+01 0 -1 -2
489 1 9.1736017824904064e+00 7.5746514827157796e+00 3.6670106268808791e+00 -2 -3 0
1118 1 9.1100346397270542e+00 1.5272282265285401e+01 1.5131438440579684e+01 -1 2 -5
3457 1 1.3177129645756699e+01 6.0059727553890951e+00 1.1182990553459553e+00 1 -1 -4
4551 1 4.5215228536831553e+00 3.9200969001992481e+00 7.4501463071691525e+00 2 1 0
1958 1 2.5837237020075259e+00 3.3235046766170719e+00 1.6730089381576914e+00 5 3 5
4638 1 5.1236432101343103e+00 2.4932530656532115e+00 1.4165366697705404e+00 0 5 -2
3423 1 6.9754492525327647e+00 6.3148208507194274e+00 2.8304631688405557e+00 1 0 -3
3872 1 5.5751549756998440e+00 1.1224139722603487e+01 1.5871711548321601e+00 1 0 2
7525 1 8.9190710896403544e+00 4.5058581981358081e+00 6.6785622009132393e+00 -6 -1 -1
2369 1 8.3212427426640889e-01 8.5548731716498949e-01 1.3536279001929980e+01 -2 -2 2
4172 1 4.8701661968024466e+00 8.5263190447348212e+00 8.3438682171567073e+00 -1 1 6
