# Time-averaged data for fix printave
# TimeStep v_temp v_etotal v_enthalpy v_density v_press v_vol v_pe
82000 77.064 -9.66419 -9.64506 0.935362 41.0496 255859 -9.89388
83000 77.139 -9.66359 -9.64422 0.93532 41.5405 255871 -9.8935
84000 77.1535 -9.66371 -9.64461 0.935379 40.9841 255854 -9.89366
85000 77.0517 -9.66429 -9.64459 0.935355 42.2517 255861 -9.89394
86000 77.1927 -9.66349 -9.6434 0.935303 43.1006 255875 -9.89356
87000 77.0584 -9.66442 -9.6438 0.935286 44.2561 255880 -9.89409
88000 76.8836 -9.66538 -9.64534 0.935236 43.004 255894 -9.89453
89000 76.8552 -9.6653 -9.6449 0.93519 43.7778 255906 -9.89436
90000 76.9112 -9.665 -9.6439 0.935263 45.2565 255886 -9.89423
91000 76.9746 -9.66444 -9.64321 0.935275 45.5576 255883 -9.89386
92000 76.8871 -9.6654 -9.64427 0.935332 45.3454 255867 -9.89456
93000 77.1454 -9.66383 -9.64227 0.935282 46.2412 255881 -9.89375
94000 77.0077 -9.66457 -9.64312 0.935419 46.0193 255844 -9.89408
95000 77.0085 -9.6646 -9.64256 0.935458 47.3072 255833 -9.89412
96000 77.0258 -9.66418 -9.64165 0.93559 48.3676 255797 -9.89375
97000 77.0082 -9.6643 -9.6419 0.935513 48.0755 255818 -9.89382
98000 77.1246 -9.66395 -9.64141 0.935377 48.3564 255855 -9.89382
99000 77.0961 -9.66397 -9.64119 0.935242 48.859 255892 -9.89375
100000 76.9616 -9.66464 -9.64097 0.935307 50.784 255874 -9.89402
101000 76.96 -9.66474 -9.64154 0.935302 49.7564 255876 -9.89411
102000 76.9564 -9.66448 -9.64088 0.935394 50.6658 255851 -9.89385
103000 76.9984 -9.66412 -9.64011 0.93542 51.5233 255843 -9.89361
104000 77.0409 -9.6639 -9.63995 0.93521 51.3669 255901 -9.89352
105000 76.9969 -9.66403 -9.63925 0.935228 53.1334 255896 -9.89352
106000 77.063 -9.66382 -9.63948 0.935344 52.2258 255864 -9.8935
107000 76.8609 -9.6653 -9.64073 0.935315 52.69 255872 -9.89438
108000 77.0339 -9.66396 -9.63903 0.935267 53.4781 255885 -9.89355
109000 76.9179 -9.66493 -9.63963 0.935344 54.2661 255864 -9.89417
110000 76.9892 -9.66428 -9.63857 0.935225 55.1499 255897 -9.89374
111000 76.9212 -9.66471 -9.63894 0.935222 55.2651 255897 -9.89397
112000 76.9078 -9.66506 -9.63904 0.935325 55.8297 255869 -9.89428
113000 77.1285 -9.66397 -9.63744 0.935429 56.9299 255841 -9.89384
114000 76.9123 -9.66525 -9.63879 0.935225 56.7525 255897 -9.89448
115000 76.994 -9.66476 -9.63838 0.935135 56.5655 255921 -9.89424
116000 77.0362 -9.6644 -9.63762 0.935343 57.458 255864 -9.894
117000 76.9214 -9.6651 -9.63796 0.935234 58.2413 255894 -9.89435
118000 76.9107 -9.66509 -9.63779 0.935294 58.5646 255878 -9.89432
119000 77.0845 -9.66399 -9.63596 0.935344 60.1429 255864 -9.89373
120000 77.0295 -9.66417 -9.63629 0.935427 59.7967 255841 -9.89375
121000 76.9582 -9.66468 -9.63648 0.935485 60.4993 255826 -9.89405
122000 77.1331 -9.66336 -9.63549 0.935466 59.7866 255831 -9.89325
123000 76.9468 -9.66453 -9.63575 0.935544 61.7448 255809 -9.89386
124000 76.9741 -9.66476 -9.63613 0.935493 61.4281 255823 -9.89418
125000 77.014 -9.66431 -9.63523 0.935579 62.396 255800 -9.89385
126000 77.1177 -9.66369 -9.63439 0.935713 62.8766 255763 -9.89353
127000 77.0419 -9.66433 -9.63502 0.93567 62.9262 255775 -9.89395
128000 77.0159 -9.66441 -9.63445 0.935728 64.2867 255759 -9.89395
129000 77.182 -9.66339 -9.6332 0.93552 64.7805 255816 -9.89343
130000 76.8853 -9.66531 -9.63556 0.935555 63.8393 255806 -9.89446
131000 76.8781 -9.66521 -9.63455 0.935594 65.7607 255796 -9.89434
132000 77.1008 -9.66367 -9.63308 0.935533 65.6298 255812 -9.89347
133000 77.0817 -9.66399 -9.6332 0.935596 66.068 255795 -9.89373
134000 76.927 -9.66485 -9.63374 0.935602 66.7778 255794 -9.89412
135000 76.8849 -9.66516 -9.63409 0.935554 66.666 255807 -9.89431
136000 77.066 -9.66423 -9.63252 0.93548 68.0424 255827 -9.89392
137000 76.951 -9.66479 -9.63317 0.935335 67.8681 255867 -9.89413
138000 77.0384 -9.66471 -9.63247 0.935371 69.15 255857 -9.89432
139000 77.0026 -9.66436 -9.63194 0.935601 69.5487 255794 -9.89386
140000 77.0893 -9.66389 -9.63181 0.93561 68.8137 255791 -9.89365
141000 76.9745 -9.66445 -9.63154 0.935554 70.6323 255807 -9.89387
142000 77.0206 -9.66433 -9.63086 0.935578 71.8349 255800 -9.89388
143000 76.9645 -9.66471 -9.63182 0.935626 70.5733 255787 -9.8941
144000 77.0536 -9.66431 -9.63123 0.935581 70.9634 255799 -9.89396
145000 77.05 -9.66447 -9.63057 0.93575 72.7682 255753 -9.89412
146000 76.9777 -9.6651 -9.63117 0.935609 72.802 255792 -9.89453
147000 77.0652 -9.66435 -9.63035 0.935592 72.9898 255796 -9.89404
148000 76.9507 -9.66511 -9.63076 0.93556 73.7198 255805 -9.89446
149000 77.1484 -9.66379 -9.62903 0.935489 74.554 255824 -9.89373
150000 76.9837 -9.66492 -9.63011 0.935465 74.694 255831 -9.89436
151000 77.0647 -9.66444 -9.62923 0.935571 75.5331 255802 -9.89412
152000 76.8135 -9.6656 -9.63001 0.93579 76.3909 255742 -9.89454
153000 76.9401 -9.66509 -9.6302 0.935652 74.8911 255780 -9.89441
154000 76.9133 -9.66556 -9.62951 0.935629 77.3752 255786 -9.8948
155000 76.985 -9.66505 -9.62893 0.935639 77.5328 255784 -9.89449
156000 77.0158 -9.66452 -9.62806 0.93564 78.203 255783 -9.89406
157000 77.043 -9.66453 -9.62825 0.935658 77.8437 255778 -9.89415
158000 76.9835 -9.665 -9.62856 0.935531 78.1824 255813 -9.89445
159000 77.0508 -9.66434 -9.62725 0.935402 79.556 255848 -9.89399
160000 77.1286 -9.66399 -9.6267 0.935277 79.9919 255883 -9.89387
161000 76.9845 -9.66467 -9.62765 0.935307 79.3956 255874 -9.89411
162000 77.0768 -9.66426 -9.62646 0.935317 81.0778 255871 -9.89398
163000 76.8753 -9.66526 -9.62746 0.935367 81.0627 255858 -9.89438
164000 76.9401 -9.66486 -9.62642 0.935521 82.4685 255816 -9.89418
165000 77.0079 -9.66487 -9.62653 0.935613 82.251 255790 -9.89438
166000 77.0776 -9.66437 -9.62576 0.935602 82.8444 255793 -9.89409
