# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 77.1864 0.0025 -0.253281 -0.253527 0.00927638 -77262.4 -79102.8 1840.39 -68168.3 0.95966 2500.5
2000 77.1689 0.0075 -0.253412 -0.253074 0.0228552 -77261.5 -79101.5 1839.98 -68169.8 0.95974 2500.05
3000 76.9551 0.0125 -0.253148 -0.253403 0.0366242 -77267.3 -79102.2 1834.88 -68177.3 0.959802 2499.73
4000 77.1396 0.0175 -0.25341 -0.253225 0.0497165 -77247.6 -79086.9 1839.28 -68155.8 0.959793 2500.21
5000 77.0608 0.0225 -0.253313 -0.253322 0.0616937 -77240.9 -79078.3 1837.4 -68151.6 0.959866 2499.73
6000 76.9206 0.0275 -0.253269 -0.253299 0.0748867 -77231.2 -79065.3 1834.06 -68142.5 0.960019 2499.99
7000 76.8529 0.0325 -0.253372 -0.253343 0.0866785 -77217.1 -79049.5 1832.44 -68128.2 0.960197 2500.49
8000 76.9055 0.0375 -0.253328 -0.253421 0.0990776 -77196.5 -79030.2 1833.7 -68110.8 0.960357 2500.01
9000 76.9712 0.0425 -0.253397 -0.253138 0.112894 -77170.7 -79006 1835.26 -68088.1 0.960686 2500
10000 76.9025 0.0475 -0.25314 -0.253305 0.124106 -77150.2 -78983.8 1833.62 -68071.7 0.960989 2499.67
11000 76.9918 0.0525 -0.253237 -0.253507 0.134559 -77122.2 -78957.9 1835.76 -68043.1 0.961036 2499.95
12000 77.0428 0.0575 -0.253609 -0.253223 0.146148 -77091.8 -78928.7 1836.97 -68011.1 0.961169 2500.72
13000 76.8893 0.0625 -0.253211 -0.253288 0.157172 -77066.7 -78900 1833.31 -67993.2 0.961369 2499.28
14000 76.8494 0.0675 -0.253369 -0.253291 0.168472 -77034.5 -78866.8 1832.36 -67961 0.961717 2500.18
15000 76.9961 0.0725 -0.253257 -0.25352 0.180088 -76995.5 -78831.3 1835.86 -67921.7 0.96198 2500.94
16000 76.9766 0.0775 -0.253339 -0.253237 0.191562 -76956.3 -78791.7 1835.39 -67890.8 0.96246 2499.89
17000 77.0903 0.0825 -0.253269 -0.253253 0.200935 -76913.2 -78751.3 1838.1 -67853.1 0.962923 2499.62
18000 77.0465 0.0875 -0.253303 -0.253348 0.208895 -76871.7 -78708.7 1837.06 -67817.2 0.963539 2499.72
19000 76.9644 0.0925 -0.253377 -0.253442 0.218667 -76829.9 -78665 1835.1 -67776.5 0.964012 2500.62
20000 76.8839 0.0975 -0.253346 -0.253179 0.229172 -76796.1 -78629.3 1833.18 -67748.6 0.964396 2499.96
21000 76.9953 0.1025 -0.25329 -0.253493 0.236948 -76739.5 -78575.3 1835.84 -67695.5 0.964981 2500.5
22000 76.9602 0.1075 -0.253293 -0.253042 0.247526 -76694.6 -78529.6 1835 -67659.1 0.965265 2498.91
23000 76.9505 0.1125 -0.253359 -0.253361 0.257246 -76645.5 -78480.2 1834.77 -67609.7 0.965793 2500.34
24000 77.0395 0.1175 -0.253223 -0.253355 0.264057 -76593.6 -78430.5 1836.89 -67564 0.966277 2499.91
25000 77.0904 0.1225 -0.253367 -0.25322 0.269281 -76537.2 -78375.3 1838.1 -67516.7 0.967032 2499.29
26000 76.9639 0.1275 -0.253381 -0.25352 0.277722 -76494.4 -78329.5 1835.09 -67470.8 0.967551 2501.53
27000 76.8628 0.1325 -0.25315 -0.253245 0.285247 -76438 -78270.6 1832.68 -67429.5 0.968218 2499.03
28000 77.0478 0.1375 -0.2534 -0.253181 0.290889 -76372.8 -78209.9 1837.09 -67369.8 0.969111 2499.82
29000 76.9159 0.1425 -0.253314 -0.25329 0.298609 -76317.8 -78151.8 1833.94 -67322.2 0.970073 2500.28
30000 76.9519 0.1475 -0.253234 -0.253515 0.303653 -76256.2 -78091 1834.8 -67268 0.970905 2500.33
31000 76.8822 0.1525 -0.253485 -0.253255 0.310805 -76205.6 -78038.8 1833.14 -67225 0.971648 2500.13
32000 76.9333 0.1575 -0.25309 -0.253303 0.312983 -76145.7 -77980 1834.36 -67174.9 0.972489 2499.58
33000 76.8835 0.1625 -0.253336 -0.253183 0.315888 -76085.9 -77919.1 1833.17 -67127.3 0.973573 2498.97
34000 77.0015 0.1675 -0.253387 -0.253549 0.318444 -76015.7 -77851.7 1835.99 -67057.1 0.974556 2501.52
35000 76.94 0.1725 -0.253344 -0.253197 0.319819 -75965.6 -77800.1 1834.52 -67022.3 0.975808 2500.41
36000 76.9944 0.1775 -0.253264 -0.25323 0.322559 -75910.5 -77746.3 1835.82 -66983.9 0.977092 2499.04
37000 77.0893 0.1825 -0.253238 -0.253305 0.323005 -75851.8 -77689.8 1838.08 -66933.5 0.978355 2499.94
38000 77.0136 0.1875 -0.253372 -0.25328 0.326857 -75800 -77636.3 1836.27 -66892.2 0.979542 2500.02
39000 77.0363 0.1925 -0.253424 -0.253383 0.324981 -75743.3 -77580.1 1836.81 -66841.4 0.98042 2500.6
40000 77.0707 0.1975 -0.2533 -0.253381 0.32536 -75687.6 -77525.2 1837.63 -66799.8 0.981739 2499.98
41000 77.1245 0.2025 -0.253228 -0.25328 0.320633 -75636.6 -77475.5 1838.92 -66764 0.983456 2500.09
42000 77.0114 0.2075 -0.253497 -0.253261 0.31737 -75609.5 -77445.8 1836.22 -66753.2 0.985023 2499.49
43000 76.8689 0.2125 -0.253133 -0.253518 0.312736 -75584.4 -77417.2 1832.82 -66739 0.986802 2500.89
44000 76.9845 0.2175 -0.253358 -0.253111 0.310853 -75547.6 -77383.2 1835.58 -66719.3 0.988122 2499.41
45000 77.0867 0.2225 -0.253303 -0.253391 0.307999 -75502.1 -77340.1 1838.02 -66684.4 0.989583 2500.12
46000 76.9524 0.2275 -0.253409 -0.253237 0.302074 -75473.9 -77308.7 1834.81 -66668.6 0.991042 2500.31
47000 77.0633 0.2325 -0.25335 -0.253469 0.299105 -75442.6 -77280.1 1837.46 -66649 0.992364 2500.28
48000 76.8625 0.2375 -0.253158 -0.253206 0.297158 -75420.9 -77253.6 1832.67 -66642.6 0.993799 2499.56
49000 77.1139 0.2425 -0.253329 -0.253467 0.292022 -75391.8 -77230.5 1838.67 -66627 0.995446 2499.85
50000 77.1065 0.2475 -0.253409 -0.253137 0.289805 -75370.5 -77209 1838.49 -66615.7 0.996601 2499.86
51000 77.1465 0.2525 -0.253301 -0.253421 0.288739 -75352.2 -77191.7 1839.44 -66604.1 0.997831 2501.08
52000 77.2038 0.2575 -0.253253 -0.253159 0.286394 -75321.7 -77162.5 1840.81 -66592.6 0.999018 2498.55
53000 77.0384 0.2625 -0.253362 -0.253328 0.278774 -75320.2 -77157.1 1836.87 -66594.6 1.00008 2500.25
54000 76.9607 0.2675 -0.253328 -0.253288 0.271043 -75317.6 -77152.6 1835.01 -66606 1.00157 2499.91
55000 76.8578 0.2725 -0.253289 -0.253424 0.267125 -75307.8 -77140.4 1832.56 -66610.6 1.00327 2500.02
56000 77.1077 0.2775 -0.253206 -0.253278 0.261393 -75289.1 -77127.6 1838.52 -66603.3 1.00451 2499.83
57000 76.9288 0.2825 -0.253424 -0.253336 0.262006 -75287.3 -77121.6 1834.25 -66608.5 1.00567 2500.72
58000 77.0691 0.2875 -0.253354 -0.253251 0.252834 -75281.2 -77118.8 1837.6 -66615.7 1.00692 2500
59000 77.0063 0.2925 -0.253276 -0.253364 0.254602 -75284.2 -77120.3 1836.1 -66628.4 1.00796 2499.75
60000 76.9328 0.2975 -0.253318 -0.25342 0.253904 -75276.8 -77111.1 1834.35 -66623.3 1.00866 2500.82
61000 77.0632 0.3025 -0.253356 -0.253295 0.252444 -75279.3 -77116.7 1837.46 -66638.7 1.00976 2499.84
62000 77.0359 0.3075 -0.253366 -0.253292 0.251263 -75272.6 -77109.4 1836.81 -66645.9 1.01121 2499.42
63000 76.8662 0.3125 -0.253234 -0.253264 0.252405 -75262.1 -77094.9 1832.76 -66639.9 1.01226 2500.69
64000 76.8821 0.3175 -0.253313 -0.253304 0.244807 -75238.6 -77071.7 1833.14 -66631.3 1.01341 2499.23
65000 77.0458 0.3225 -0.253343 -0.253356 0.240114 -75213.8 -77050.9 1837.04 -66612 1.01467 2500.76
66000 77.0562 0.3275 -0.25327 -0.25344 0.244411 -75195.9 -77033.1 1837.29 -66604.8 1.01571 2500.15
67000 77.0601 0.3325 -0.253309 -0.253028 0.241687 -75189.1 -77026.5 1837.38 -66608.9 1.01647 2498.89
68000 76.9958 0.3375 -0.253417 -0.253492 0.238488 -75176.6 -77012.4 1835.85 -66599.5 1.01763 2500.82
69000 76.9493 0.3425 -0.25309 -0.253477 0.238431 -75158.4 -76993.2 1834.74 -66595.8 1.01886 2499.61
70000 76.9486 0.3475 -0.253421 -0.253134 0.2382 -75150.6 -76985.3 1834.72 -66591.6 1.01933 2499.7
71000 77.1501 0.3525 -0.253232 -0.253387 0.241262 -75126.9 -76966.4 1839.53 -66571.2 1.01987 2500.07
72000 76.9764 0.3575 -0.253407 -0.253305 0.242631 -75121.6 -76957 1835.39 -66571 1.02065 2500.47
