# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 77.0099 0.00025 -0.253429 -0.253433 -0.0029809 -74657.5 -76493.7 1836.19 -67432.3 1.20815 2501.05
2000 76.9275 0.00075 -0.253005 -0.253219 0.000770336 -74668.2 -76502.4 1834.22 -67452.6 1.20828 2498
3000 77.0102 0.00125 -0.253511 -0.25311 0.00379624 -74661.1 -76497.3 1836.19 -67436.8 1.20824 2500.93
4000 77.112 0.00175 -0.253401 -0.253572 0.00525911 -74654.7 -76493.3 1838.62 -67429.3 1.20814 2501.08
5000 77.0145 0.00225 -0.253354 -0.2532 -0.00184262 -74659.8 -76496.1 1836.29 -67439 1.20785 2498.9
6000 76.9633 0.00275 -0.253219 -0.253153 -0.00212465 -74658.5 -76493.6 1835.07 -67434.6 1.20753 2499.34
7000 77.0446 0.00325 -0.25342 -0.253553 0.00277241 -74652.2 -76489.2 1837.01 -67423.1 1.20781 2501.71
8000 76.8506 0.00375 -0.253233 -0.253377 0.00694762 -74657.1 -76489.5 1832.39 -67437.7 1.20842 2499.59
9000 76.8693 0.00425 -0.253299 -0.253366 0.00961591 -74662.5 -76495.3 1832.83 -67440.1 1.20832 2500.41
10000 76.9873 0.00475 -0.253418 -0.253242 0.0126974 -74650.1 -76485.7 1835.65 -67429 1.20815 2499.65
11000 77.0913 0.00525 -0.253353 -0.253159 0.00797059 -74648.9 -76487 1838.13 -67428.4 1.20827 2499.64
12000 76.8712 0.00575 -0.253171 -0.253577 0.0142229 -74659.3 -76492.2 1832.88 -67436.4 1.20815 2500.26
13000 76.9292 0.00625 -0.253275 -0.253116 0.0164193 -74658.8 -76493.1 1834.26 -67440.4 1.20839 2499.23
14000 77.0225 0.00675 -0.253392 -0.253434 0.0167323 -74656.7 -76493.2 1836.49 -67434.1 1.20842 2500.72
15000 77.0691 0.00725 -0.253208 -0.253413 0.0161944 -74654.2 -76491.8 1837.6 -67432.8 1.20833 2500.09
16000 76.9515 0.00775 -0.253357 -0.253028 0.0175731 -74664 -76498.7 1834.79 -67446.6 1.20831 2498.67
17000 77.0301 0.00825 -0.253352 -0.253386 0.0183781 -74655.4 -76492.1 1836.67 -67434.2 1.20852 2500.46
18000 77.0913 0.00875 -0.253368 -0.253216 0.0210136 -74648.6 -76486.7 1838.13 -67426.4 1.20851 2500.75
19000 76.9739 0.00925 -0.25329 -0.253521 0.0204597 -74656.1 -76491.5 1835.33 -67434.9 1.2085 2500.4
20000 77.0117 0.00975 -0.253303 -0.25344 0.0246827 -74656.3 -76492.5 1836.23 -67436.8 1.20846 2499.71
21000 77.0226 0.01025 -0.253154 -0.253139 0.0255813 -74653 -76489.5 1836.49 -67435.7 1.20836 2498.73
22000 76.9444 0.01075 -0.253307 -0.253145 0.0284478 -74649.8 -76484.4 1834.62 -67429.1 1.20835 2499.89
23000 76.8902 0.01125 -0.253433 -0.253611 0.0288221 -74658.7 -76492 1833.33 -67432.5 1.20847 2502.06
24000 77.1411 0.01175 -0.253303 -0.253115 0.0308592 -74652.7 -76492 1839.31 -67436.8 1.20854 2498.66
25000 76.919 0.01225 -0.253357 -0.253236 0.0316476 -74654.9 -76488.9 1834.02 -67432.9 1.20836 2500.39
26000 77.0808 0.01275 -0.25323 -0.253567 0.0318343 -74647.3 -76485.1 1837.88 -67422.7 1.20809 2500.74
27000 76.9306 0.01325 -0.253411 -0.253258 0.0279208 -74653.3 -76487.6 1834.3 -67432.3 1.20791 2499.1
28000 77.033 0.01375 -0.253405 -0.25342 0.0355128 -74643.1 -76479.8 1836.74 -67417 1.20803 2501.1
29000 76.9947 0.01425 -0.253259 -0.253209 0.0341943 -74649 -76484.9 1835.82 -67426.7 1.20824 2500.21
30000 76.9132 0.01475 -0.25329 -0.253194 0.0360989 -74654.1 -76487.9 1833.88 -67436.7 1.20832 2498.72
31000 77.1354 0.01525 -0.253354 -0.253512 0.0350681 -74652.4 -76491.5 1839.18 -67426.4 1.20828 2501.6
32000 76.9142 0.01575 -0.253086 -0.253116 0.037362 -74661.9 -76495.8 1833.9 -67446.3 1.20843 2498.29
33000 76.9358 0.01625 -0.25356 -0.253374 0.0385841 -74653.6 -76488.1 1834.42 -67429.3 1.20817 2500.76
34000 76.9041 0.01675 -0.2533 -0.253498 0.0414633 -74649.5 -76483.1 1833.66 -67425.7 1.20815 2500.53
35000 77.1671 0.01725 -0.253203 -0.253059 0.0423522 -74644.1 -76484 1839.93 -67425.8 1.20828 2498.9
36000 76.9881 0.01775 -0.253221 -0.25355 0.0421619 -74653.9 -76489.6 1835.67 -67430.1 1.20835 2500.99
37000 76.8954 0.01825 -0.253363 -0.253123 0.04438 -74653 -76486.4 1833.46 -67433.7 1.20835 2499.42
38000 77.0236 0.01875 -0.253338 -0.253365 0.0429666 -74644.2 -76480.7 1836.51 -67421.2 1.20799 2499.96
39000 76.9819 0.01925 -0.253432 -0.253186 0.0465486 -74644.9 -76480.4 1835.52 -67423 1.20821 2500.03
40000 77.082 0.01975 -0.253087 -0.253343 0.0458467 -74643.8 -76481.7 1837.9 -67423 1.20799 2499.2
41000 77.0538 0.02025 -0.253451 -0.253489 0.0452138 -74642.6 -76479.8 1837.23 -67415.4 1.20783 2501.1
42000 77.0618 0.02075 -0.25325 -0.253194 0.0449255 -74638.3 -76475.8 1837.42 -67419.9 1.2083 2499.01
43000 76.9336 0.02125 -0.253143 -0.25351 0.049391 -74644.4 -76478.7 1834.37 -67420.7 1.20809 2500.4
44000 77.0659 0.02175 -0.253544 -0.253178 0.0558901 -74630 -76467.5 1837.52 -67408.1 1.20816 2499.94
45000 76.9375 0.02225 -0.253314 -0.253411 0.0559412 -74637.2 -76471.7 1834.46 -67411.4 1.20806 2501.1
46000 77.1355 0.02275 -0.253192 -0.253345 0.0546732 -74633.2 -76472.4 1839.18 -67409.8 1.20776 2499.65
47000 76.9808 0.02325 -0.253423 -0.253232 0.0559497 -74643.3 -76478.8 1835.49 -67420.4 1.20779 2499.51
48000 76.8554 0.02375 -0.253285 -0.253287 0.0554089 -74656.6 -76489.1 1832.5 -67431 1.2077 2500.29
49000 77.0219 0.02425 -0.253255 -0.253122 0.0555316 -74642.7 -76479.2 1836.47 -67420.6 1.2077 2499.02
50000 77.0147 0.02475 -0.25329 -0.253472 0.0579539 -74639.8 -76476.1 1836.3 -67413.8 1.20769 2500.37
