# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 77.0321 0.025 3.56065e-05 0.000206547 0.101282 -74600.6 -76437.3 1836.71 -74605.3 1.19058 -1.36777
2000 77.0239 0.075 7.90527e-05 -0.000336494 0.235607 -74358.8 -76195.3 1836.52 -74356.5 1.18868 0.83732
3000 76.841 0.125 -7.38034e-05 0.000190063 0.282432 -74048.3 -75880.5 1832.16 -74049.7 1.18572 -0.416925
4000 77.0215 0.175 0.00020552 -4.59542e-05 0.289075 -73776.9 -75613.4 1836.46 -73778.7 1.18114 -0.552967
5000 77.0796 0.225 -2.07907e-05 0.00011193 0.253941 -73616.1 -75454 1837.85 -73618.1 1.17689 -0.59341
6000 77.1693 0.275 0.000149156 2.47373e-05 0.233268 -73537.3 -75377.2 1839.99 -73537.7 1.1711 -0.0886426
7000 76.9769 0.325 -0.000248921 0.000113626 0.225466 -73499.7 -75335.1 1835.4 -73499.6 1.16592 0.0774859
8000 77.1715 0.375 8.64147e-05 -0.000244247 0.223233 -73428.1 -75268.1 1840.04 -73426.3 1.16109 0.661367
9000 76.9652 0.425 -3.16218e-05 6.53434e-05 0.20796 -73412 -75247.1 1835.12 -73414.2 1.15566 -0.668372
10000 77.1568 0.475 4.33909e-05 -5.3952e-05 0.207085 -73409.6 -75249.3 1839.69 -73408.3 1.15176 0.504703
11000 77.0244 -0.465711 -3.01502e-05 -2.75475e-05 0.205996 -73437.4 -75273.9 1836.53 -73438.9 1.14784 -0.458821
12000 76.9019 -0.423391 -5.63491e-05 8.81538e-05 0.209896 -73435.7 -75269.3 1833.61 -73431.4 1.14432 1.45891
13000 76.979 -0.371108 0.000288657 -0.000110302 0.214902 -73425.4 -75260.9 1835.45 -73429.2 1.14061 -1.18484
14000 77.0435 -0.319288 -8.23759e-05 1.79841e-05 0.22093 -73413.8 -75250.8 1836.99 -73414.4 1.13788 -0.143634
15000 77.0844 -0.265446 -0.00019738 7.96898e-05 0.226252 -73360.5 -75198.4 1837.96 -73359.2 1.13428 0.486519
16000 77.0481 -0.211882 -5.88638e-05 -5.0375e-05 0.218182 -73354.4 -75191.5 1837.1 -73353 1.13157 0.536484
17000 77.1639 -0.157619 0.000183193 -5.37954e-05 0.221788 -73341.4 -75181.2 1839.86 -73343.9 1.12939 -0.745837
18000 77.0802 -0.104341 -3.60796e-05 0.000151647 0.224019 -73344 -75181.9 1837.86 -73345.3 1.12781 -0.367533
19000 77.1215 -0.0513909 -5.91348e-05 2.29018e-05 0.220655 -73360.3 -75199.2 1838.85 -73358.9 1.12507 0.519372
20000 77.067 0.00182465 -3.24647e-05 -0.000285485 0.226468 -73401 -75238.6 1837.55 -73398.5 1.1232 0.85931
21000 77.1062 0.0532374 3.19279e-05 0.000214276 0.231103 -73403.4 -75241.9 1838.48 -73406.3 1.12182 -0.877141
