# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
0 77 0 -0.26755 -0.234983 0.00138887 -74574.9 -76410.9 1835.95 -67544.4 1.20726 2431.8
1 76.9123 0 -0.264025 -0.231897 0.000833398 -74576.4 -76410.3 1833.86 -67646.3 1.207 2396.56
2 76.9252 0.005 -0.247979 -0.219498 0.0624486 -74576.4 -76410.5 1834.16 -68053.3 1.20623 2254.36
3 77.0219 0.01 -0.222231 -0.198189 0.123124 -74569.7 -76406.1 1836.47 -68724.1 1.20497 2018.1
4 77.1988 0.015 -0.190321 -0.171175 0.182231 -74555.4 -76396.1 1840.69 -69571.6 1.2033 1718.2
5 77.4724 0.02 -0.152372 -0.13937 0.238192 -74533 -76380.2 1847.21 -70568.4 1.20128 1364.53
6 77.8636 0.025 -0.10909 -0.10417 0.29059 -74501.9 -76358.4 1856.54 -71661.3 1.199 975.809
7 78.38 0.03 -0.0630772 -0.0675706 0.339534 -74461.7 -76330.6 1868.85 -72787.6 1.19658 573.971
8 79.0084 0.035 -0.0170607 -0.0298449 0.38488 -74412.7 -76296.5 1883.84 -73918.5 1.19413 169.08
9 79.7058 0.04 0.0270622 0.00639999 0.426593 -74355.3 -76255.8 1900.47 -74992.9 1.19177 -217.704
10 80.4235 0.045 0.0672969 0.0382254 0.464452 -74290.4 -76208 1917.58 -75938.9 1.18959 -561.849
11 81.1371 0.05 0.102921 0.0648704 0.499017 -74219.5 -76154.1 1934.59 -76734.6 1.18766 -855.843
12 81.8408 0.055 0.132048 0.0853533 0.530728 -74143.7 -76095.1 1951.37 -77348.1 1.18605 -1088.93
13 82.5467 0.06 0.153417 0.100691 0.559315 -74064.4 -76032.6 1968.2 -77780 1.18478 -1261.29
14 83.2684 0.065 0.167488 0.110498 0.585214 -73982.4 -75967.8 1985.41 -78018.1 1.18387 -1368.89
15 84.0024 0.07 0.175116 0.11497 0.608702 -73898.6 -75901.5 2002.91 -78070.8 1.1833 -1414.54
16 84.764 0.075 0.177023 0.114762 0.629944 -73813.3 -75834.4 2021.07 -77970.1 1.18307 -1409.02
17 85.5717 0.08 0.173454 0.109485 0.650202 -73726.8 -75767.1 2040.33 -77719.4 1.18315 -1353.44
18 86.4166 0.085 0.164259 0.0996554 0.670191 -73638.6 -75699 2060.47 -77320.3 1.1835 -1248.42
19 87.2923 0.09 0.15058 0.0849652 0.689649 -73548 -75629.4 2081.35 -76786.2 1.18408 -1098.57
20 88.2012 0.095 0.133213 0.0675325 0.708158 -73455 -75558 2103.03 -76171.3 1.18486 -922.128
21 89.1494 0.1 0.113442 0.0485633 0.726488 -73359 -75484.6 2125.63 -75503.6 1.18578 -728.626
22 90.1499 0.105 0.0925186 0.0297654 0.744012 -73260.1 -75409.6 2149.49 -74823.2 1.18681 -531.53
23 91.21 0.11 0.0709664 0.0106948 0.76046 -73158.4 -75333.1 2174.77 -74127.1 1.18789 -329.706
24 92.3136 0.115 0.0492301 -0.00849007 0.775477 -73054.4 -75255.5 2201.08 -73422.2 1.18898 -125.297
25 93.4114 0.12 0.0278322 -0.0262302 0.790145 -72948.3 -75175.6 2227.25 -72739.4 1.19003 71.2368
26 94.4547 0.125 0.00759199 -0.0409894 0.804261 -72840.5 -75092.6 2252.13 -72116.4 1.19102 247.106
27 95.4201 0.13 -0.0110492 -0.0530534 0.817803 -72731.4 -75006.6 2275.15 -71559 1.19191 400.385
28 96.3011 0.135 -0.0273127 -0.0624152 0.831147 -72621 -74917.2 2296.15 -71082.1 1.19267 525.864
29 97.0957 0.14 -0.038914 -0.0688283 0.843691 -72509.7 -74824.9 2315.1 -70721.6 1.19328 611.343
30 97.8118 0.145 -0.0452589 -0.0718061 0.855769 -72397.6 -74729.7 2332.18 -70486.2 1.19374 653.728
31 98.4844 0.15 -0.0480703 -0.0730549 0.866192 -72284.5 -74632.7 2348.21 -70344 1.19404 663.848
32 99.1646 0.155 -0.046678 -0.0715981 0.875624 -72170.9 -74535.4 2364.43 -70298.3 1.19419 640.708
33 99.8978 0.16 -0.0411874 -0.066624 0.884831 -72057.1 -74439 2381.91 -70361.2 1.1942 580.249
34 100.697 0.165 -0.0332387 -0.0588597 0.894276 -71942.6 -74343.6 2400.97 -70482.3 1.19408 499.601
35 101.546 0.17 -0.0229656 -0.0494537 0.902595 -71827.8 -74249 2421.2 -70648 1.19387 403.544
36 102.405 0.175 -0.0105943 -0.0375252 0.909045 -71712.6 -74154.2 2441.69 -70866.5 1.19358 289.344
37 103.226 0.18 0.00319125 -0.0238357 0.913998 -71597 -74058.3 2461.28 -71126.9 1.19324 160.737
38 103.989 0.185 0.0182238 -0.0117673 0.918137 -71481.4 -73960.8 2479.45 -71384 1.19287 33.2979
39 104.687 0.19 0.0325982 -0.00209652 0.921611 -71365.6 -73861.7 2496.1 -71599.4 1.19252 -79.8745
40 105.323 0.195 0.046929 0.00557232 0.924843 -71249.8 -73761 2511.26 -71785.3 1.19219 -182.922
41 105.922 0.2 0.0591585 0.0119613 0.927108 -71133.9 -73659.4 2525.56 -71927.8 1.1919 -271.12
42 106.536 0.205 0.0705684 0.0169023 0.929146 -71018.1 -73558.3 2540.18 -72041.2 1.19169 -349.325
43 107.219 0.21 0.0800212 0.0201248 0.930662 -70902.4 -73458.8 2556.48 -72114 1.19155 -413.657
44 108.021 0.215 0.0869339 0.022154 0.93208 -70787.1 -73362.7 2575.61 -72144.1 1.19151 -463.228
45 108.948 0.22 0.0910949 0.0230864 0.933515 -70672.1 -73269.8 2597.71 -72126.9 1.19157 -496.66
46 109.989 0.225 0.0941628 0.0230849 0.934089 -70557.5 -73180 2622.52 -72092 1.19172 -523.95
47 111.144 0.23 0.0945419 0.0218342 0.934377 -70443.5 -73093.6 2650.07 -72008.6 1.19199 -534.493
48 112.377 0.235 0.0920527 0.0187243 0.93491 -70330.2 -73009.7 2679.45 -71855.3 1.19235 -520.997
49 113.587 0.24 0.0866281 0.0155302 0.936505 -70217.5 -72925.8 2708.3 -71657.9 1.19282 -492.263
50 114.666 0.245 0.0789887 0.0117886 0.938423 -70105 -72839.1 2734.04 -71409 1.19337 -445.85
51 115.567 0.25 0.0689581 0.00576562 0.939972 -69992.6 -72748.2 2755.52 -71103.3 1.194 -379.963
52 116.309 0.255 0.0584982 -0.00324817 0.941105 -69880.5 -72653.7 2773.22 -70758.6 1.19469 -300.549
53 116.952 0.26 0.0484861 -0.0130018 0.94195 -69768.7 -72557.3 2788.55 -70395.8 1.19541 -214.766
54 117.594 0.265 0.0387952 -0.0207062 0.942821 -69657 -72460.9 2803.86 -70063.7 1.19615 -139.355
55 118.368 0.27 0.0275804 -0.027662 0.943933 -69546 -72368.3 2822.3 -69725.3 1.19689 -61.4942
56 119.369 0.275 0.0168263 -0.0351123 0.945312 -69435.2 -72281.4 2846.18 -69382.9 1.19761 17.9559
57 120.632 0.28 0.00760914 -0.0407529 0.946423 -69325.3 -72201.5 2876.28 -69076.5 1.1983 85.4127
58 122.123 0.285 0.000207167 -0.0451942 0.947415 -69216.2 -72128 2911.85 -68805.4 1.19893 141.126
59 123.731 0.29 -0.00446648 -0.0491768 0.947994 -69108.3 -72058.5 2950.19 -68572.3 1.19951 184.211
60 125.324 0.295 -0.00601703 -0.0524562 0.946871 -69001.6 -71989.8 2988.15 -68387.5 1.20002 211.142
61 126.809 0.3 -0.00619134 -0.0553938 0.944098 -68896.4 -71920 3023.57 -68219.1 1.20046 232.966
62 128.149 0.305 -0.00476404 -0.0559659 0.940508 -68793.1 -71848.6 3055.53 -68095.1 1.20083 240.144
63 129.331 0.31 -0.00327834 -0.0554299 0.936628 -68691.7 -71775.4 3083.71 -67983.4 1.20113 243.76
64 130.328 0.315 -0.000877204 -0.0545503 0.93209 -68592 -71699.4 3107.48 -67894.8 1.20136 239.959
65 131.186 0.32 0.00239405 -0.0517934 0.925631 -68493.8 -71621.7 3127.93 -67837.7 1.20154 225.853
66 132.024 0.325 0.00614643 -0.0477331 0.917657 -68398 -71545.9 3147.91 -67793.8 1.20165 208.01
67 132.938 0.33 0.0103756 -0.0437417 0.908806 -68304.3 -71474 3169.72 -67747.7 1.20172 191.625
68 133.996 0.335 0.0153802 -0.0401098 0.899327 -68212.9 -71407.9 3194.94 -67707.6 1.20174 173.983
69 135.222 0.34 0.0203527 -0.0373054 0.889396 -68124.2 -71348.4 3224.17 -67661.6 1.20173 159.285
70 136.602 0.345 0.0251577 -0.0376078 0.879463 -68037.9 -71295 3257.08 -67593.5 1.20168 153.006
71 138.103 0.35 0.031267 -0.0385744 0.870155 -67954.2 -71247 3292.86 -67540.5 1.20161 142.405
72 139.696 0.355 0.0402629 -0.0373066 0.860622 -67873 -71203.8 3330.84 -67558.9 1.20151 108.134
73 141.335 0.36 0.0486001 -0.0345829 0.851619 -67794.5 -71164.5 3369.91 -67603.7 1.20139 65.674
74 142.904 0.365 0.0550983 -0.0307045 0.84502 -67718.5 -71125.8 3407.33 -67651.6 1.20126 23.0096
75 144.305 0.37 0.0611668 -0.0261814 0.838541 -67644.2 -71084.9 3440.73 -67716 1.20114 -24.7023
