# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
1000 76.9902 0.00025 -0.253448 -0.253468 0.00345778 -77271.7 -79107.4 1835.72 -68175.3 0.959546 2500.86
2000 76.9754 0.00075 -0.253117 -0.253278 0.00505385 -77273.6 -79109 1835.36 -68181.4 0.959496 2499.56
3000 76.9712 0.00125 -0.253291 -0.253178 0.00644959 -77272.1 -79107.4 1835.26 -68181.4 0.959644 2499.52
4000 77.1021 0.00175 -0.25343 -0.253327 0.00739665 -77266.3 -79104.6 1838.38 -68173.9 0.959691 2500.09
5000 77.0457 0.00225 -0.253314 -0.253462 0.00930711 -77270.4 -79107.4 1837.04 -68175.6 0.959666 2500.69
6000 76.9076 0.00275 -0.25319 -0.253095 0.0101652 -77277.1 -79110.9 1833.75 -68189.8 0.959666 2498.65
7000 76.9477 0.00325 -0.253518 -0.253366 0.0108232 -77276 -79110.7 1834.7 -68178.6 0.959664 2501.41
8000 76.9559 0.00375 -0.253127 -0.253248 0.0121092 -77275.4 -79110.3 1834.9 -68187.1 0.959626 2498.78
9000 77.0429 0.00425 -0.2533 -0.253502 0.0135304 -77272 -79109 1836.97 -68177.7 0.959493 2500.18
10000 76.9321 0.00475 -0.253368 -0.253237 0.016121 -77277.8 -79112.1 1834.33 -68184.2 0.959564 2500.13
11000 76.9679 0.00525 -0.253305 -0.253303 0.0169592 -77276.3 -79111.5 1835.18 -68184.3 0.959612 2499.82
12000 77.1398 0.00575 -0.253493 -0.253378 0.0172368 -77265.6 -79104.9 1839.28 -68166.9 0.959512 2501.4
13000 77.0151 0.00625 -0.253263 -0.25338 0.0185685 -77271.8 -79108.1 1836.31 -68177.5 0.959551 2500.27
14000 76.9776 0.00675 -0.253123 -0.253403 0.0205319 -77274.4 -79109.8 1835.42 -68186 0.959655 2498.94
15000 77.1222 0.00725 -0.253435 -0.253274 0.0213687 -77265.2 -79104.1 1838.86 -68173 0.959865 2500.51
16000 77.0281 0.00775 -0.253315 -0.253282 0.0224464 -77271.8 -79108.4 1836.62 -68180.1 0.959704 2499.95
17000 76.8692 0.00825 -0.253245 -0.253327 0.0242652 -77277.8 -79110.6 1832.83 -68184.1 0.959535 2500.1
18000 77.0663 0.00875 -0.253523 -0.253326 0.0250868 -77267.9 -79105.5 1837.53 -68170.5 0.959522 2501.09
19000 76.8669 0.00925 -0.253168 -0.253373 0.0256521 -77277 -79109.8 1832.77 -68186.6 0.959616 2499.41
20000 77.02 0.00975 -0.253353 -0.253332 0.0275043 -77269.3 -79105.8 1836.43 -68174.7 0.95959 2500.45
21000 77.0601 0.01025 -0.253225 -0.25318 0.0285368 -77266.9 -79104.2 1837.38 -68179.3 0.95972 2498.87
22000 77.0041 0.01075 -0.253326 -0.253319 0.0302134 -77269.3 -79105.3 1836.05 -68176.6 0.959783 2500.42
23000 76.9615 0.01125 -0.25324 -0.253374 0.0335792 -77265.8 -79100.8 1835.03 -68176.5 0.959923 2499.84
24000 76.8173 0.01175 -0.253442 -0.253252 0.0357743 -77273.8 -79105.4 1831.59 -68185.6 0.959932 2499.59
25000 77.0845 0.01225 -0.253182 -0.253394 0.037398 -77257.7 -79095.7 1837.96 -68166.1 0.959891 2500.41
26000 77.1514 0.01275 -0.25343 -0.253261 0.0381109 -77254.1 -79093.6 1839.56 -68162.2 0.95979 2500.25
27000 76.9879 0.01325 -0.253347 -0.253338 0.038727 -77262.3 -79098 1835.66 -68172.7 0.959737 2499.5
28000 77.0791 0.01375 -0.253307 -0.253297 0.0392847 -77258.7 -79096.6 1837.84 -68166 0.959816 2500.55
29000 77.0222 0.01425 -0.253239 -0.253387 0.0403137 -77259.4 -79095.9 1836.48 -68168.6 0.95995 2500.37
30000 76.9827 0.01475 -0.253275 -0.253055 0.0409537 -77258 -79093.5 1835.54 -68173.8 0.959975 2498.6
31000 77.0928 0.01525 -0.253354 -0.25355 0.0418715 -77254.1 -79092.3 1838.16 -68161.5 0.959906 2500.74
32000 76.9348 0.01575 -0.253352 -0.253195 0.0414642 -77262.2 -79096.5 1834.39 -68173.8 0.95994 2499.63
33000 76.9758 0.01625 -0.253377 -0.253348 0.0436579 -77259.7 -79095.1 1835.37 -68169.1 0.95988 2500.11
34000 76.9665 0.01675 -0.25325 -0.253256 0.0448591 -77261.1 -79096.3 1835.15 -68172.2 0.959925 2499.75
35000 77.127 0.01725 -0.253328 -0.253402 0.0459703 -77252.7 -79091.7 1838.98 -68160.9 0.959769 2500.16
