# Time-averaged data for fix printave
# TimeStep v_temp v_strain v_sigmayy v_sigmazz v_sigmayz v_etotal v_pe v_ke v_enthalpy v_density v_press
100 77.3881 0.025 -0.149652 -0.153635 0.141825 -74587.9 -76433.1 1845.2 -70250.6 1.20184 1494.11
200 76.9423 0.075 -0.151941 -0.150668 0.364169 -74301.7 -76136.2 1834.57 -69969.1 1.20164 1491.73
300 77.999 0.125 -0.151161 -0.152859 0.4877 -73778.1 -75637.9 1859.77 -69403.6 1.20212 1506.73
400 78.4378 0.175 -0.151188 -0.150208 0.521908 -73280.3 -75150.6 1870.23 -68954.6 1.20258 1490.48
500 78.9938 0.225 -0.15085 -0.154707 0.510289 -72859.1 -74742.6 1883.49 -68503.6 1.20327 1501.56
600 79.4437 0.275 -0.15297 -0.150826 0.478491 -72551.6 -74445.9 1894.22 -68187.2 1.20363 1505.18
700 79.492 0.325 -0.150416 -0.15321 0.432663 -72376 -74271.3 1895.37 -68018.3 1.20304 1502.03
800 79.6093 0.375 -0.153293 -0.150522 0.400879 -72302 -74200.2 1898.17 -67960.7 1.20171 1494.75
900 78.9514 0.425 -0.150329 -0.153402 0.389068 -72265.8 -74148.3 1882.48 -67896.8 1.20075 1503.11
1000 78.6239 0.228903 -0.150064 -0.152413 0.362336 -72199.5 -74074.2 1874.67 -67860.2 1.20003 1492
1100 78.9361 -0.446628 -0.154912 -0.151527 0.352644 -72158 -74040.1 1882.11 -67775.3 1.19925 1505.95
1200 79.0611 -0.394867 -0.152582 -0.152617 0.344126 -72148.1 -74033.2 1885.09 -67750.3 1.19852 1510.23
1300 78.7283 -0.341903 -0.150069 -0.152323 0.346099 -72136.9 -74014.1 1877.16 -67789.3 1.1977 1491.96
1400 79.0473 -0.288341 -0.152407 -0.152481 0.348612 -72089.5 -73974.2 1884.76 -67716.7 1.19677 1499.44
1500 79.3959 -0.235071 -0.152788 -0.150594 0.335046 -72104 -73997.1 1893.08 -67734.9 1.19591 1497.11
1600 79.0749 -0.182578 -0.148347 -0.152391 0.340965 -72136.6 -74022 1885.42 -67771.3 1.19581 1495.65
1700 78.9557 -0.128847 -0.154312 -0.153229 0.344742 -72134 -74016.6 1882.58 -67708.9 1.195 1515.15
1800 78.9674 -0.0752392 -0.151728 -0.15315 0.350511 -72107.9 -73990.8 1882.86 -67736.3 1.19515 1496.97
1900 79.1864 -0.0218491 -0.151572 -0.151104 0.336794 -72105.5 -73993.6 1888.08 -67733.6 1.19431 1496.09
2000 78.9469 0.0308357 -0.15199 -0.153079 0.327888 -72131.8 -74014.2 1882.37 -67750.1 1.19412 1499.1
2100 78.5859 0.0823491 -0.152231 -0.151779 0.32951 -72143.7 -74017.4 1873.76 -67722.6 1.19377 1512.21
2200 78.9301 0.134585 -0.151489 -0.149877 0.335773 -72141.2 -74023.2 1881.97 -67793 1.19294 1486.23
2300 78.893 0.186577 -0.150688 -0.154306 0.337967 -72129.5 -74010.5 1881.08 -67716.7 1.19329 1508.7
2400 78.8911 0.239805 -0.151845 -0.15123 0.342846 -72105.3 -73986.4 1881.04 -67721.1 1.19264 1498.18
2500 79.3913 0.29194 -0.151402 -0.152802 0.329074 -72109.9 -74002.9 1892.97 -67741.9 1.19218 1492
2600 78.7997 0.3446 -0.152049 -0.152874 0.339751 -72119.2 -73998.1 1878.86 -67704.1 1.19169 1507.53
2700 79.0072 0.396974 -0.151535 -0.151382 0.334236 -72107.1 -73990.9 1883.81 -67747.2 1.19217 1489.25
2800 79.1011 0.270381 -0.153143 -0.152497 0.33215 -72135.8 -74021.9 1886.05 -67702.6 1.1921 1514.2
2900 78.7794 -0.426787 -0.150751 -0.151369 0.338317 -72150.9 -74029.2 1878.38 -67805.9 1.19229 1484.34
3000 79.0078 -0.371216 -0.152967 -0.152716 0.351359 -72118 -74001.8 1883.82 -67701.6 1.192 1508.33
3100 78.8439 -0.318523 -0.151681 -0.151346 0.343731 -72103.9 -73983.8 1879.91 -67694.2 1.19075 1504.47
3200 78.9911 -0.263727 -0.151404 -0.151032 0.338843 -72071.4 -73954.8 1883.42 -67698.4 1.1915 1492.91
3300 79.3265 -0.20695 -0.151325 -0.154182 0.336435 -72064.5 -73955.9 1891.42 -67634.4 1.19211 1513.2
3400 79.2708 -0.148386 -0.152161 -0.150614 0.351847 -72043 -73933.1 1890.09 -67660.8 1.19142 1496.01
3500 79.3639 -0.0935817 -0.1512 -0.150408 0.331939 -72063.5 -73955.8 1892.31 -67703.9 1.19203 1488.95
3600 78.6612 -0.0415403 -0.150514 -0.155308 0.330032 -72120.4 -73995.9 1875.56 -67713.4 1.19218 1505.34
3700 79.3684 0.0159559 -0.153961 -0.149354 0.345956 -72088.8 -73981.2 1892.42 -67696.2 1.19169 1499.81
